,fc_code,to_city,to_state,to_latitude,to_longitude
0,ABE2,Breinigsville,PA,40.55963039274668,-75.62028597992689
1,ABE3,Breinigsville,PA,40.560786620308846,-75.62105156595062
2,ABE4,Easton,PA,40.44248998553143,-74.46429223169838
3,ABE8,Florence,NJ,40.110056150000005,-74.80252506814196
4,ABQ2,Los Lunas,NM,34.8255434,-106.81521822280884
5,ACY1,West Deptford,NJ,39.82690148752904,-75.21965486986754
6,ACY2,Burlington,NJ,40.08711305,-74.83805664669394
7,AFW1,Fort Worth,TX,32.8422544,-97.327608
8,AKC1,Akron,OH,41.04767536721574,-81.58093609463926
9,AKR1,Canton,OH,40.841764750232585,-81.31080815446279
10,ALB1,Castleton,NY,40.01743471428571,-74.21898234693877
11,AMA1,Amarillo,TX,35.23654271908951,-101.73297725020991
12,ATL2,Stone Mountain,GA,33.81471406385551,-84.11457602411204
13,ATL7,Union City,GA,33.569820064492994,-84.53941739703764
14,ATL8,Lithia Springs,GA,33.748446,-84.590086
15,AVP1,Hazle Township,PA,40.92357411523179,-76.05055126251797
16,AVP3,Gouldsboro,PA,40.7333159,-73.9807557
17,AVP9,Jessup,PA,41.7353048,-72.7858788
18,AZA4,Phoenix,AZ,33.417019100000005,-112.18427428207504
19,BDL2,Windsor,CT,41.87244235,-72.70808900587116
20,BDL3,North Haven,CT,41.41331105,-72.84639382187738
21,BDL6,Cromwell,CT,40.78382228271956,-75.82334502168592
22,BFI1,Sumner,WA,47.24100835,-122.24329226719892
23,BFI3,Du Pont,WA,47.1125227,-122.63896365796732
24,BFI4,Kent,WA,47.41449595,-122.25778195
25,BFI7,Sumner,WA,47.2363033,-122.24185555
26,BFI9,Dupont,WA,47.11022205,-122.6247314944395
27,BFL1,Bakersfield,CA,35.44685655,-119.050251425006
28,BFL2,Shafter,CA,35.45888505,-119.19987165933368
29,BHM1,Bessemer,AL,33.3771594,-87.00548503938909
30,BNA2,Lebanon,TN,36.286211,-88.71518
31,BNA3,Murfreesboro,TN,35.78532496838931,-86.36498187052031
32,BNA6,Clarksville,TN,36.61045360124922,-87.25291354426132
33,BOI2,Nampa,ID,43.6033664,-116.49887840850324
34,BOS7,Fall River,MA,41.7621205,-71.100137874562
35,BWI1,Sterling,VA,38.98668607589834,-77.43960714412624
36,BWI2,Baltimore,MD,39.26794825,-76.54469633273865
37,BWI4,Clear Brook,VA,39.28905455,-78.07811102211008
38,CAE1,West Columbia,SC,33.918505,-81.044426
39,CHA1,Chattanooga,TN,39.92412811585597,-86.05320075070193
40,CHA2,Charleston,TN,43.03046950023607,-71.19380420382426
41,CHO1,Fishersville,VA,38.080224900000005,-78.99966905867443
42,CLE2,North Randall,OH,41.4325677,-81.53186128979392
43,CLE3,Euclid,OH,41.592911609756094,-81.51163841463413
44,CLT2,Charlotte,NC,35.24221934771131,-80.99737261815821
45,CLT3,Concord,NC,35.4393754,-80.68567040616625
46,CLT4,Charlotte,NC,35.244430949999995,-80.96384962534617
47,CLT6,Pineville,NC,35.1026034,-80.91433469918776
48,CMH1,Etna,OH,39.95681654952954,-82.71395088899509
49,CMH2,Groveport,OH,39.8462533,-82.93139029900561
50,CMH3,Monroe,OH,39.42815355,-84.3304267995754
51,CMH4,West Jefferson,OH,39.94369018653589,-83.28981571061084
52,CMH6,Lockbourne,OH,39.78206008733857,-82.94611299529275
53,CMH7,New Albany,OH,40.06896740281125,-82.75411822500212
54,CSG1,Moreland,GA,27.91080923486072,-81.97091468435372
55,CVG1,Hebron,KY,39.0846526,-84.71347803083603
56,CVG3,Hebron,KY,39.06018197745106,-84.71351279116872
57,DAL2,Dfw Airport,TX,32.865020099999995,-97.02942775
58,DAL3,Dallas,TX,32.760904410002176,-96.902184767956
59,DCA1,Sparrows Point,MD,39.22245047942204,-76.46866849011347
60,DCA6,Baltimore,MD,39.233947650000005,-76.49102926869972
61,DEN2,Aurora,CO,39.74603715,-104.72599759481542
62,DEN3,Thornton,CO,39.9608062,-104.98518560018051
63,DEN7,Aurora,CO,39.75210195,-104.72723594219474
64,DEN8,Aurora,CO,39.73788442373626,-104.73514700063303
65,DET1,Livonia,MI,42.37434320175948,-83.42885569671779
66,DET2,Shelby Township,MI,42.6660889,-83.04972352321843
67,DFW6,Coppell,TX,32.95804715,-97.01703732496824
68,DFW7,Fort Worth,TX,32.97052535,-97.33571069671608
69,DTW1,Romulus,MI,42.25060525,-83.36167881662737
70,DTW3,Romulus,MI,42.1735105857144,-83.33485113317928
71,EWR4,Robbinsville,NJ,40.19561315,-74.565247833543
72,EWR9,Carteret,NJ,40.12858845454546,-83.19934327272728
73,FAR1,Fargo,ND,46.934144,-96.840923
74,FAT1,Fresno,CA,36.683690600000006,-119.7657314
75,FAT2,Visalia,CA,36.35887815,-119.3878051027998
76,FOE1,Kansas City,KS,39.14328751764706,-94.79479269411765
77,FTW1,Dallas,TX,32.92548894695871,-96.81150839998512
78,FTW2,Dallas,TX,32.9517549,-97.02693365
79,FTW3,Fort Worth,TX,33.009141650000004,-97.29521507491368
80,FTW5,Forney,TX,32.7343958,-96.416497753287
81,FTW6,Dallas,TX,32.952113749999995,-97.03148000037598
82,FTW9,Coppell,TX,32.975304050000005,-97.02157184786051
83,FWA4,Fort Wayne,IN,40.9950821,-85.21693549098347
84,GEG1,Spokane,WA,47.6006386,-117.55335532910765
85,GEG2,Spokane,WA,47.69506415,-117.1650140748637
86,GEU2,Glendale,AZ,33.55147940638552,-112.3890981193612
87,GEU3,Buckeye,AZ,33.464753,-112.465951
88,GEU5,Goodyear,AZ,33.472977432485706,-112.42683917699291
89,GRR1,Caledonia,MI,42.8383498,-85.55050834857667
90,GSO1,Kernersville,NC,36.10957785714286,-80.02542199999999
91,GSP1,Spartanburg,SC,35.0082759,-82.03562617509354
92,GYR2,Goodyear,AZ,33.5013823009318,-112.39587413280562
93,GYR3,Phoenix,AZ,33.45750985,-112.23330649761378
94,HGR2,Hagerstown,MD,39.63696381345098,-77.74675100031378
95,HGR6,Hagerstown,MD,39.61306971207944,-77.7385755677252
96,HIA1,Middletown,PA,40.191283,-76.675769
97,HLI2,Hollister,CA,31.929895040394104,-106.42058448884084
98,HOU2,Houston,TX,29.9341403,-95.42838243350258
99,HOU3,Brookshire,TX,29.78629497460743,-95.95389311636914
100,HOU7,"Houston,",TX,29.940883,-95.5281139
101,HOU8,Fresno,TX,29.531537878002872,-95.50031595922636
102,HSV1,Madison,AL,34.66682455,-86.85013498866724
