iter	RMSE
0	1.462639313
1	1.426467021
2	1.395024507
3	1.370253434
4	1.346995506
5	1.329559923
6	1.305655897
7	1.284050262
8	1.276563805
9	1.247696854
10	1.239255721
11	1.214663506
12	1.197015662
13	1.17648638
14	1.165663307
15	1.157609161
16	1.137196752
17	1.116488634
18	1.095001123
19	1.094999349
20	1.087310192
21	1.069643848
22	1.048324641
23	1.042179646
24	1.033103563
25	1.017744569
26	1.003812239
27	0.9919898561
28	0.9737635766
29	0.9601572316
30	0.9421728882
31	0.9263340717
32	0.9097917056
33	0.8939996011
34	0.8816633014
35	0.8816594261
36	0.8678450596
37	0.8582139881
38	0.842521242
39	0.8310121713
40	0.8186228978
41	0.8079720307
42	0.7980730049
43	0.7875816717
44	0.7779878379
45	0.76674849
46	0.7546999855
47	0.7487492698
48	0.7397479285
49	0.7296062432
50	0.7207468973
51	0.7132896293
52	0.7105722988
53	0.7058664023
54	0.7037431682
55	0.7003221334
56	0.6900989909
57	0.6819199499
58	0.6758414027
59	0.6670626256
60	0.6621979834
61	0.653220023
62	0.6449409915
63	0.6371759859
64	0.6355366103
65	0.6294204707
66	0.6237455815
67	0.621156289
68	0.6191952044
69	0.6146921773
70	0.6077285251
71	0.6020663402
72	0.5967800046
73	0.5918460325
74	0.5880357151
75	0.5856239762
76	0.5799111695
77	0.574901982
78	0.5707120776
79	0.5669826733
80	0.5668342351
81	0.5615287649
82	0.557107091
83	0.5523843076
84	0.5485665449
85	0.5435093354
86	0.5391606281
87	0.5345078533
88	0.5287961683
89	0.5248915024
90	0.5207390979
91	0.5173771882
92	0.5161213774
93	0.5152026635
94	0.5140175968
95	0.5102945758
96	0.5049232267
97	0.5027467254
98	0.4994031939
99	0.4980183071
100	0.4938449616
101	0.4919972795
102	0.4877268345
103	0.4848485558
104	0.4828801035
105	0.4798415458
106	0.4779668287
107	0.4760963575
108	0.4738949918
109	0.4728357614
110	0.4714136331
111	0.4700408627
112	0.4683016866
113	0.4663415478
114	0.4653695841
115	0.4639975661
116	0.4604351924
117	0.4565120323
118	0.4544352825
119	0.4534139345
120	0.4520260986
121	0.4488800862
122	0.4477847842
123	0.4452302896
124	0.4422569978
125	0.4409892169
126	0.4387418082
127	0.4366995985
128	0.4347386244
129	0.434037607
130	0.4316381569
131	0.4293595417
132	0.4270921434
133	0.4258006106
134	0.4237651678
135	0.4231525977
136	0.4218031756
137	0.4205297359
138	0.4180933093
139	0.4152299076
140	0.4140017843
141	0.4107661546
142	0.4102011171
143	0.4087686987
144	0.4053120391
145	0.4039182253
146	0.4019075841
147	0.3993230539
148	0.3965475999
149	0.3951711506
150	0.3937637132
151	0.3924149315
152	0.389459568
153	0.3881664183
154	0.385718527
155	0.3857182681
156	0.3844144975
157	0.3824331461
158	0.3800530529
159	0.3790886393
160	0.3787653609
161	0.3774724501
