iter	Passed	Remaining
0	9	11955
1	27	16565
2	50	20302
3	76	22778
4	98	23543
5	123	24632
6	142	24319
7	168	25076
8	197	26135
9	218	25954
10	232	25130
11	246	24426
12	265	24271
13	286	24280
14	301	23835
15	320	23739
16	339	23644
17	361	23714
18	380	23622
19	384	22707
20	399	22447
21	421	22567
22	457	23407
23	478	23452
24	505	23756
25	527	23839
26	555	24141
27	584	24465
28	613	24787
29	639	24936
30	665	25108
31	686	25044
32	705	24943
33	726	24898
34	745	24826
35	751	24302
36	773	24321
37	793	24269
38	824	24544
39	841	24399
40	862	24387
41	892	24599
42	923	24836
43	951	24988
44	982	25207
45	1002	25156
46	1021	25070
47	1041	24998
48	1064	25001
49	1085	24964
50	1110	25023
51	1130	24956
52	1146	24818
53	1161	24645
54	1180	24573
55	1205	24631
56	1224	24560
57	1248	24581
58	1268	24540
59	1291	24544
60	1313	24526
61	1331	24431
62	1351	24385
63	1371	24338
64	1392	24311
65	1417	24354
66	1444	24427
67	1459	24300
68	1484	24337
69	1506	24324
70	1536	24436
71	1563	24492
72	1591	24563
73	1616	24604
74	1643	24645
75	1663	24609
76	1690	24648
77	1711	24613
78	1741	24705
79	1779	24918
80	1822	25179
81	1862	25395
82	1896	25520
83	1929	25640
84	1952	25610
85	1982	25685
86	2012	25751
87	2049	25897
88	2094	26144
89	2123	26186
90	2141	26098
91	2166	26097
92	2179	25941
93	2200	25891
94	2227	25913
95	2253	25911
96	2269	25803
97	2294	25804
98	2329	25909
99	2353	25891
100	2384	25944
101	2415	26002
102	2443	26022
103	2470	26039
104	2493	26001
105	2514	25954
106	2533	25879
107	2552	25807
108	2576	25791
109	2603	25798
110	2625	25753
111	2657	25812
112	2686	25838
113	2715	25869
114	2741	25865
115	2761	25808
116	2791	25842
117	2819	25849
118	2846	25853
119	2876	25885
120	2903	25894
121	2931	25899
122	2960	25920
123	3015	26167
124	3043	26175
125	3067	26142
126	3088	26097
127	3130	26222
128	3166	26285
129	3207	26396
130	3232	26375
131	3254	26332
132	3281	26322
133	3308	26318
134	3332	26291
135	3353	26234
136	3373	26174
137	3401	26174
138	3427	26163
139	3456	26172
140	3502	26307
141	3539	26371
142	3565	26357
143	3600	26403
144	3631	26420
145	3665	26459
146	3692	26447
147	3724	26473
148	3748	26442
149	3773	26414
150	3794	26357
151	3822	26356
152	3848	26335
153	3874	26318
154	3901	26306
155	3908	26157
156	3935	26147
157	3960	26119
158	4013	26278
159	4046	26305
160	4078	26321
161	4114	26364
162	4158	26454
163	4189	26465
164	4230	26538
165	4259	26530
166	4292	26553
167	4338	26649
168	4376	26700
169	4414	26743
170	4446	26756
171	4490	26837
172	4521	26843
173	4551	26840
174	4584	26852
175	4609	26816
176	4634	26788
177	4660	26757
178	4690	26755
179	4713	26712
