iter	RMSE
0	1.003775035
1	0.8980678205
2	0.8084655548
3	0.7397369939
4	0.6801712449
5	0.6317276296
6	0.5957851247
7	0.565150817
8	0.5372750784
9	0.512134913
10	0.4943465163
11	0.4786714579
12	0.4684519174
13	0.4568566387
14	0.4462123228
15	0.4361453285
16	0.4289263238
17	0.4208369378
18	0.4151522177
19	0.412074341
20	0.4083871579
21	0.4059196973
22	0.4020850268
23	0.3982590906
24	0.3967014713
25	0.3948981663
26	0.3920095125
27	0.3902132208
28	0.3884443073
29	0.3862360068
30	0.3845320444
31	0.3830961064
32	0.3827002039
33	0.3820052316
34	0.3808679453
35	0.3796531328
36	0.3794480003
37	0.3787472158
38	0.3781032327
39	0.3775316919
40	0.3763759394
41	0.3754792732
42	0.3748751894
43	0.3741413793
44	0.3738223011
45	0.3729561281
46	0.372635978
47	0.3712258803
48	0.3701759114
49	0.3692329706
50	0.3678635399
51	0.3653024942
52	0.3647028669
53	0.3638206654
54	0.3629996329
55	0.3615873763
56	0.3610834363
57	0.3604101368
58	0.3579833594
59	0.3573212462
60	0.3562430938
61	0.3546098142
62	0.3533046168
63	0.3513475396
64	0.3500524452
65	0.3491668742
66	0.348374789
67	0.3474131253
68	0.345910426
69	0.3448895023
70	0.3445675995
71	0.3436259994
72	0.342771152
73	0.3412754696
74	0.3405082716
75	0.3392383749
76	0.3390159752
77	0.3385152501
78	0.3382361137
79	0.3370036045
80	0.3362306453
81	0.3355919418
82	0.3346083471
83	0.3338038484
84	0.3326035538
85	0.3317174386
86	0.3311312281
87	0.3308357898
88	0.3300628153
89	0.3294570144
90	0.3286356862
91	0.327671591
92	0.3273293101
93	0.3266444968
94	0.3257684728
95	0.3251667434
96	0.324278021
97	0.3236619649
98	0.3231700825
99	0.3223786659
100	0.3217433506
101	0.3214788862
102	0.3212388649
103	0.3207159267
104	0.3203889143
105	0.3197836347
106	0.319100109
107	0.3189528953
108	0.3175521417
109	0.3172235155
110	0.3169095673
111	0.316662329
112	0.316329365
113	0.3159054086
114	0.3151621436
115	0.314969687
116	0.3148561252
117	0.3141417606
118	0.3137366501
119	0.3136292455
120	0.3127299538
121	0.3120650555
122	0.3120059743
123	0.3118515569
124	0.311731536
125	0.3114641779
126	0.3105828983
127	0.3102615009
128	0.3095375172
129	0.3092166699
130	0.3089655988
131	0.3086210794
132	0.3080130567
133	0.3077463923
134	0.3074345604
135	0.307021495
136	0.3065500146
137	0.3060256001
138	0.3058417835
139	0.305781387
140	0.305532292
141	0.3052308306
142	0.3050213371
143	0.3046606697
144	0.3044265688
145	0.3042997477
146	0.303832591
147	0.3031772417
148	0.3027106868
149	0.3026285349
150	0.301814177
151	0.3010331847
152	0.3008830363
153	0.3004512905
154	0.3001021205
155	0.2998029911
156	0.2993534361
157	0.2989752326
158	0.2987777548
159	0.2979971251
160	0.2976955452
161	0.297402871
162	0.2971552501
163	0.2967112294
164	0.295942639
165	0.2957048283
166	0.2954422353
167	0.2953898968
168	0.2953287667
169	0.2947449473
170	0.294169032
171	0.2939518408
172	0.2933385554
173	0.2931095818
174	0.2926926906
175	0.2924619952
176	0.2919373454
177	0.2917160868
178	0.2914263683
179	0.2908234282
180	0.2907320858
181	0.2903589306
182	0.2902104347
183	0.2900755776
184	0.2898430952
185	0.2891678346
186	0.2889320836
187	0.2887032644
188	0.2885476354
189	0.2881444613
190	0.2880437067
191	0.2878821049
192	0.287641349
193	0.2874599136
194	0.2868310251
195	0.2866285262
196	0.2864441592
197	0.2862084884
198	0.285944041
199	0.2856446949
200	0.2854683421
201	0.2851301082
202	0.2850126791
203	0.284891246
204	0.2848543307
205	0.2845694053
206	0.2844578265
207	0.284380974
208	0.2842308043
209	0.2840521841
210	0.2838149692
211	0.2836597909
212	0.2830982529
213	0.2830007366
214	0.2825790285
215	0.28240813
216	0.2821340223
217	0.2820064917
218	0.2819304187
219	0.2817774954
220	0.281601102
221	0.281559468
222	0.2813404232
223	0.2811442637
224	0.2808557627
225	0.2805982494
226	0.2801415248
227	0.2798732084
228	0.2797721986
229	0.2795418178
230	0.2792808189
231	0.2792717594
232	0.2791392444
233	0.2787842706
234	0.2784733082
235	0.2783422332
236	0.278173895
237	0.2779517635
238	0.2778093012
239	0.2775508282
240	0.2772814548
241	0.2772195704
242	0.2771349429
243	0.2767987446
244	0.2767440289
245	0.2765809036
246	0.2764855997
247	0.2764653279
248	0.2761215245
249	0.2760158542
250	0.2754084992
251	0.2753766133
252	0.2748854779
253	0.2748047839
254	0.274732127
255	0.2745817245
256	0.2742351201
257	0.2739863093
258	0.2732796827
259	0.2732036871
260	0.2729529314
261	0.2728946727
262	0.2725329588
263	0.272482017
264	0.2722298534
265	0.2719857465
266	0.2719346012
267	0.2717461969
268	0.2716197941
269	0.2712532098
270	0.2709101213
271	0.2707686658
272	0.270552029
273	0.270240807
274	0.2700637216
275	0.2699661556
276	0.2697983376
277	0.2694314532
278	0.2693214636
