iter	Passed	Remaining
0	20	28985
1	48	34058
2	82	38289
3	119	41534
4	156	43544
5	188	43710
6	215	42914
7	243	42439
8	272	42041
9	303	42228
10	341	43174
11	378	43737
12	416	44474
13	456	45179
14	494	45653
15	530	45915
16	568	46209
17	596	45819
18	632	45949
19	665	45940
20	704	46253
21	735	46076
22	768	46009
23	799	45824
24	826	45432
25	852	45069
26	878	44679
27	904	44328
28	931	44056
29	960	43884
30	993	43866
31	1022	43708
32	1053	43638
33	1087	43684
34	1117	43584
35	1149	43552
36	1172	43179
37	1221	43779
38	1267	44241
39	1305	44403
40	1345	44594
41	1387	44861
42	1426	45026
43	1465	45168
44	1506	45355
45	1546	45512
46	1589	45753
47	1629	45893
48	1664	45899
49	1693	45731
50	1719	45487
51	1752	45424
52	1795	45643
53	1836	45777
54	1891	46251
55	1949	46789
56	2006	47272
57	2047	47385
58	2101	47759
59	2145	47927
60	2199	48274
61	2239	48339
62	2274	48260
63	2315	48339
64	2355	48383
65	2391	48342
66	2433	48408
67	2466	48315
68	2504	48306
69	2549	48444
70	2585	48391
71	2616	48268
72	2646	48104
73	2674	47918
74	2710	47879
75	2755	48011
76	2794	48020
77	2838	48112
78	2880	48161
79	2907	47973
80	2941	47892
81	2982	47941
82	3019	47911
83	3066	48045
84	3109	48100
85	3156	48220
86	3200	48295
87	3242	48346
88	3280	48319
89	3318	48298
90	3355	48270
91	3396	48287
92	3436	48297
93	3475	48291
94	3515	48297
95	3546	48173
96	3573	47997
97	3604	47882
98	3634	47767
99	3661	47593
100	3689	47454
101	3716	47294
102	3744	47156
103	3771	47004
104	3799	46861
105	3826	46714
106	3853	46565
107	3879	46412
108	3908	46287
109	3934	46144
110	3963	46029
111	3990	45888
112	4020	45791
113	4047	45660
114	4076	45555
115	4104	45428
116	4130	45297
117	4159	45189
118	4188	45085
119	4219	45004
120	4247	44901
121	4275	44787
122	4303	44682
123	4333	44595
124	4359	44470
125	4388	44373
126	4418	44292
127	4445	44177
128	4475	44096
129	4504	44005
130	4537	43954
131	4566	43863
132	4605	43869
133	4635	43794
134	4663	43699
135	4693	43626
136	4724	43554
137	4762	43555
138	4805	43594
139	4838	43547
140	4867	43466
141	4896	43382
142	4931	43346
143	4958	43247
144	4985	43146
145	5012	43050
146	5040	42963
147	5068	42877
148	5094	42776
149	5125	42716
150	5152	42617
151	5183	42559
152	5211	42472
153	5237	42374
154	5267	42307
155	5302	42285
156	5330	42203
157	5359	42133
158	5393	42093
159	5424	42037
160	5454	41979
161	5483	41903
162	5509	41813
163	5536	41729
164	5577	41749
165	5610	41707
166	5636	41616
167	5663	41535
168	5690	41449
169	5718	41376
170	5747	41307
171	5781	41279
172	5823	41304
173	5862	41304
174	5894	41259
175	5930	41245
176	5977	41300
