iter	Passed	Remaining
0	49	68757
1	91	64084
2	125	58546
3	170	59555
4	227	63392
5	258	59947
6	293	58488
7	323	56285
8	360	55708
9	375	52201
10	418	52849
11	453	52398
12	495	52877
13	541	53618
14	575	53149
15	610	52840
16	650	52910
17	688	52896
18	729	53050
19	775	53489
20	816	53627
21	862	54016
22	902	54049
23	950	54516
24	986	54273
25	1021	53966
26	1055	53686
27	1083	53072
28	1110	52477
29	1146	52358
30	1177	52011
31	1205	51518
32	1250	51797
33	1296	52074
34	1337	52149
35	1370	51929
36	1407	51860
37	1437	51513
38	1477	51567
39	1517	51611
40	1551	51411
41	1582	51177
42	1621	51159
43	1647	50766
44	1665	50140
45	1709	50312
46	1769	50938
47	1818	51220
48	1861	51313
49	1904	51413
50	1941	51367
51	1980	51353
52	2024	51453
53	2067	51524
54	2099	51338
55	2136	51266
56	2177	51300
57	2214	51235
58	2254	51250
59	2309	51589
60	2342	51429
61	2371	51170
62	2404	51028
63	2428	50687
64	2454	50416
65	2482	50167
66	2514	50026
67	2544	49848
68	2591	49987
69	2642	50204
70	2688	50318
71	2732	50395
72	2770	50358
73	2813	50412
74	2857	50486
75	2891	50373
76	2919	50156
77	2958	50142
78	3004	50240
79	3035	50091
80	3068	49973
81	3104	49903
82	3132	49708
83	3161	49523
84	3190	49352
85	3229	49341
86	3265	49277
87	3291	49075
88	3325	48978
89	3352	48794
90	3389	48759
91	3428	48737
92	3463	48668
93	3502	48660
94	3541	48642
95	3575	48569
96	3616	48579
97	3653	48540
98	3688	48478
99	3731	48509
100	3786	48704
101	3831	48752
102	3874	48785
103	3916	48803
104	3955	48789
105	4002	48865
106	4037	48786
107	4072	48721
108	4104	48609
109	4144	48609
110	4189	48652
111	4234	48698
112	4269	48627
113	4298	48495
114	4324	48326
115	4352	48180
116	4378	48018
117	4413	47945
118	4449	47892
119	4478	47770
120	4507	47650
121	4540	47560
122	4569	47443
123	4597	47312
124	4625	47177
125	4653	47054
126	4681	46927
127	4718	46887
128	4756	46860
129	4798	46874
130	4840	46893
131	4883	46909
132	4911	46784
133	4938	46659
134	4967	46544
135	4995	46425
136	5022	46300
137	5052	46201
138	5081	46102
139	5116	46046
140	5149	45978
141	5178	45873
142	5208	45779
143	5236	45674
144	5265	45573
145	5295	45480
146	5325	45396
147	5353	45285
148	5391	45267
149	5425	45209
150	5455	45127
151	5485	45042
152	5520	44996
153	5550	44905
154	5584	44859
155	5615	44781
156	5643	44681
157	5675	44612
158	5712	44586
159	5745	44528
160	5775	44448
161	5803	44347
162	5832	44259
163	5863	44194
164	5893	44113
165	5920	44010
166	5952	43946
167	5983	43881
168	6012	43794
169	6039	43695
170	6066	43602
171	6094	43513
172	6122	43423
173	6149	43329
174	6179	43255
175	6208	43174
176	6241	43126
177	6270	43048
178	6303	42995
179	6330	42904
180	6359	42832
181	6390	42769
182	6418	42684
183	6446	42599
184	6473	42514
185	6508	42482
186	6551	42498
187	6581	42429
188	6610	42357
189	6645	42321
190	6682	42297
191	6721	42287
192	6759	42275
193	6803	42291
194	6833	42229
195	6861	42146
196	6888	42064
197	6914	41975
198	6943	41904
199	6972	41837
200	7004	41784
201	7034	41721
202	7063	41650
203	7090	41569
204	7120	41506
205	7153	41460
206	7184	41404
207	7211	41329
208	7242	41273
209	7268	41188
210	7295	41112
211	7325	41048
212	7352	40975
213	7380	40905
214	7407	40824
215	7432	40739
216	7459	40668
217	7487	40597
218	7516	40534
219	7547	40481
220	7581	40446
221	7611	40390
222	7648	40367
223	7686	40353
224	7722	40327
225	7752	40271
226	7779	40201
227	7808	40136
228	7835	40068
229	7864	40005
230	7890	39933
231	7918	39866
232	7946	39801
233	7977	39751
234	8009	39707
235	8037	39644
236	8065	39577
237	8092	39511
238	8123	39460
239	8149	39390
240	8178	39329
241	8205	39263
242	8236	39218
243	8272	39191
244	8302	39141
245	8331	39083
246	8358	39016
247	8388	38965
248	8416	38904
249	8445	38848
250	8473	38787
251	8504	38743
252	8540	38719
253	8580	38712
254	8612	38671
255	8646	38636
256	8678	38596
257	8715	38576
258	8750	38548
259	8780	38498
260	8820	38494
261	8861	38490
262	8904	38494
263	8947	38503
264	8987	38493
265	9028	38488
266	9067	38475
267	9099	38434
268	9129	38386
269	9160	38336
270	9192	38294
271	9224	38256
272	9257	38216
273	9285	38157
274	9315	38108
275	9344	38055
276	9372	37996
277	9400	37941
278	9429	37885
279	9457	37829
280	9486	37776
281	9514	37721
282	9542	37664
283	9572	37616
284	9604	37577
285	9633	37524
286	9662	37471
287	9693	37428
288	9721	37371
289	9751	37324
290	9785	37292
291	9818	37255
292	9845	37196
293	9875	37150
294	9902	37092
295	9930	37036
296	9956	36977
297	9990	36945
298	10020	36899
299	10050	36851
300	10077	36795
301	10103	36734
302	10132	36683
303	10159	36628
304	10188	36578
305	10215	36521
306	10242	36465
307	10269	36410
308	10296	36353
309	10325	36304
310	10352	36251
311	10382	36204
312	10410	36153
313	10436	36094
314	10462	36039
315	10489	35983
316	10517	35931
317	10547	35887
318	10577	35843
319	10607	35800
320	10639	35763
321	10682	35762
322	10713	35721
323	10747	35693
324	10779	35655
325	10810	35613
326	10838	35565
327	10868	35522
328	10897	35475
329	10925	35424
330	10951	35367
331	10977	35312
332	11012	35285
333	11048	35263
334	11086	35245
335	11127	35237
336	11160	35203
337	11195	35176
338	11227	35140
339	11254	35088
340	11281	35033
341	11308	34983
342	11336	34936
343	11365	34889
344	11395	34846
345	11427	34809
346	11456	34766
347	11485	34720
348	11518	34688
349	11550	34652
350	11588	34632
351	11622	34604
352	11651	34558
353	11680	34514
354	11708	34465
355	11735	34414
356	11764	34369
357	11790	34318
358	11820	34274
359	11848	34229
360	11875	34180
361	11904	34135
362	11937	34101
363	11974	34080
364	12001	34031
365	12037	34007
366	12063	33956
367	12091	33908
368	12119	33862
369	12145	33811
370	12174	33767
371	12203	33724
372	12229	33673
373	12256	33624
374	12283	33575
375	12310	33525
376	12337	33476
377	12364	33430
378	12394	33390
379	12421	33340
380	12447	33291
381	12474	33242
382	12502	33197
383	12536	33170
384	12564	33125
385	12592	33079
386	12632	33065
387	12673	33056
388	12709	33032
389	12743	33002
390	12779	32978
391	12808	32936
392	12835	32888
393	12865	32849
394	12895	32809
395	12922	32763
396	12949	32717
397	12976	32670
398	13004	32625
399	13033	32582
400	13062	32542
401	13089	32496
402	13117	32452
403	13147	32412
404	13176	32372
405	13206	32333
406	13236	32294
407	13263	32247
408	13291	32204
409	13321	32165
410	13350	32126
411	13377	32079
412	13405	32037
413	13436	32000
414	13470	31973
415	13503	31942
416	13539	31916
417	13572	31886
418	13600	31842
419	13635	31816
420	13666	31779
421	13694	31736
422	13722	31694
423	13753	31658
424	13785	31626
425	13818	31593
426	13850	31560
427	13879	31519
428	13914	31494
429	13950	31470
430	13978	31428
431	14006	31384
432	14038	31351
433	14070	31319
434	14101	31282
435	14131	31244
436	14168	31222
437	14199	31186
438	14233	31158
439	14269	31132
440	14305	31109
441	14334	31068
442	14365	31033
443	14391	30988
444	14419	30945
445	14446	30900
446	14475	30861
447	14503	30820
448	14535	30786
449	14571	30762
450	14605	30733
451	14636	30696
452	14670	30669
453	14703	30636
454	14730	30593
455	14760	30557
456	14790	30519
457	14820	30483
458	14850	30445
459	14878	30403
460	14910	30371
461	14944	30341
462	14977	30310
463	15010	30280
464	15047	30257
465	15090	30245
466	15121	30211
467	15161	30192
468	15206	30186
469	15257	30190
470	15304	30187
471	15351	30183
472	15395	30172
473	15439	30161
474	15487	30159
475	15543	30172
476	15589	30164
477	15630	30149
478	15665	30120
479	15700	30092
480	15737	30067
481	15773	30042
482	15818	30032
483	15854	30005
484	15892	29982
485	15921	29943
486	15954	29911
487	15987	29877
488	16032	29867
489	16071	29847
490	16107	29820
491	16144	29795
492	16184	29776
493	16223	29753
494	16261	29730
495	16299	29707
496	16333	29676
497	16372	29654
498	16415	29640
499	16460	29629
500	16494	29598
501	16532	29574
502	16569	29548
503	16607	29523
504	16651	29510
505	16685	29480
506	16722	29453
507	16768	29443
508	16806	29420
509	16853	29410
510	16889	29382
511	16930	29364
512	16966	29336
513	16998	29301
514	17034	29273
515	17072	29247
516	17114	29230
517	17152	29205
518	17197	29192
519	17236	29169
520	17275	29146
521	17316	29126
522	17353	29099
523	17395	29080
524	17438	29064
525	17473	29034
526	17513	29011
527	17551	28987
528	17587	28958
529	17628	28936
530	17667	28913
531	17707	28891
532	17748	28870
533	17786	28844
534	17821	28814
535	17855	28781
536	17893	28755
537	17935	28736
538	17973	28710
539	18017	28694
540	18064	28683
541	18117	28680
542	18172	28681
543	18221	28672
544	18259	28645
545	18301	28625
546	18336	28593
547	18376	28570
548	18416	28547
549	18454	28521
550	18502	28508
551	18540	28481
552	18579	28457
553	18614	28425
554	18653	28399
555	18694	28377
556	18729	28347
557	18762	28311
558	18798	28281
559	18838	28257
560	18876	28230
561	18930	28227
562	18969	28202
563	19008	28175
564	19053	28158
565	19101	28145
566	19151	28135
567	19187	28105
568	19218	28068
569	19258	28043
570	19293	28011
571	19345	28003
572	19386	27980
573	19429	27959
574	19471	27937
575	19517	27920
576	19576	27922
577	19617	27898
578	19662	27880
579	19704	27857
580	19742	27829
581	19776	27795
582	19817	27771
583	19864	27755
584	19903	27729
585	19953	27716
586	19994	27692
587	20036	27669
588	20096	27670
589	20137	27646
590	20174	27616
591	20221	27599
592	20267	27581
593	20310	27559
594	20358	27543
595	20402	27522
596	20446	27501
597	20494	27486
598	20534	27459
599	20582	27443
600	20627	27422
601	20666	27394
602	20710	27373
603	20759	27358
604	20801	27334
605	20838	27302
606	20881	27279
607	20918	27248
608	20956	27219
609	20984	27176
610	21012	27134
611	21049	27102
612	21081	27065
613	21119	27035
614	21154	27002
615	21183	26960
616	21212	26919
617	21241	26878
618	21269	26836
619	21297	26793
620	21333	26761
621	21367	26726
622	21413	26706
623	21452	26678
624	21498	26657
625	21539	26631
626	21580	26605
627	21620	26577
628	21657	26546
629	21709	26533
630	21747	26503
631	21784	26472
