iter	Passed	Remaining
0	19	19235
1	33	16872
2	53	17859
3	59	14734
4	74	14735
5	94	15714
6	101	14464
7	122	15233
8	146	16133
9	167	16613
10	187	16843
11	206	17041
12	222	16898
13	229	16130
14	253	16658
15	277	17039
16	297	17178
17	321	17523
18	349	18034
19	354	17364
20	382	17824
21	392	17455
22	411	17489
23	426	17329
24	445	17384
25	469	17577
26	494	17833
27	516	17939
28	540	18101
29	563	18232
30	594	18583
31	626	18944
32	653	19139
33	688	19565
34	721	19899
35	751	20125
36	773	20142
37	793	20097
38	812	20020
39	832	19968
40	851	19926
41	872	19907
42	895	19937
43	923	20073
44	945	20071
45	967	20074
46	995	20185
47	1023	20291
48	1046	20316
49	1070	20343
50	1099	20458
51	1125	20525
52	1153	20608
53	1178	20647
54	1201	20650
55	1229	20720
56	1251	20698
57	1274	20707
58	1301	20764
59	1330	20851
60	1360	20938
61	1384	20940
62	1413	21021
63	1436	21015
64	1461	21018
65	1484	21002
66	1499	20885
67	1523	20887
68	1547	20878
69	1570	20859
70	1598	20919
71	1624	20934
72	1644	20884
73	1665	20844
74	1684	20781
75	1709	20781
76	1729	20730
77	1758	20784
78	1780	20762
79	1801	20712
80	1825	20705
81	1844	20653
82	1867	20631
83	1886	20571
84	1905	20512
85	1926	20477
86	1948	20445
87	1972	20443
88	1997	20442
89	2023	20458
90	2053	20510
91	2076	20489
92	2102	20503
93	2128	20511
94	2150	20486
95	2171	20445
96	2192	20410
97	2215	20393
98	2250	20478
99	2291	20622
100	2319	20643
101	2359	20776
102	2405	20947
103	2437	20996
104	2460	20970
105	2491	21015
106	2537	21178
107	2601	21485
108	2644	21613
109	2693	21792
110	2740	21945
111	2782	22059
112	2814	22090
113	2842	22089
114	2880	22165
115	2921	22261
116	2965	22377
117	2995	22386
118	3026	22408
119	3057	22419
120	3087	22430
121	3120	22454
122	3155	22500
123	3194	22564
124	3226	22587
125	3259	22606
126	3288	22608
127	3323	22642
128	3368	22745
129	3417	22871
130	3451	22895
131	3486	22923
132	3517	22931
133	3548	22931
134	3579	22934
135	3617	22978
136	3644	22958
137	3668	22917
138	3695	22891
139	3721	22861
140	3751	22854
141	3794	22929
142	3824	22917
143	3861	22955
144	3895	22972
145	3936	23025
146	3975	23070
147	4014	23109
148	4051	23139
149	4090	23181
150	4125	23195
151	4151	23159
152	4168	23079
153	4191	23026
154	4223	23025
155	4246	22972
156	4272	22939
157	4296	22896
158	4318	22842
159	4339	22781
160	4360	22723
161	4385	22683
162	4411	22651
163	4440	22635
164	4464	22593
165	4487	22547
166	4513	22512
167	4541	22490
168	4566	22452
169	4595	22434
170	4629	22443
171	4654	22408
172	4672	22336
173	4696	22296
174	4726	22283
175	4757	22273
176	4783	22241
177	4812	22221
178	4842	22211
179	4864	22160
180	4890	22130
181	4916	22097
182	4944	22074
183	4972	22053
184	4993	22000
185	5015	21950
186	5042	21921
187	5073	21911
188	5093	21854
189	5124	21845
190	5144	21790
191	5165	21737
192	5185	21680
193	5206	21632
194	5228	21583
195	5248	21531
196	5275	21505
197	5295	21449
198	5315	21396
199	5336	21345
200	5361	21311
201	5382	21261
202	5406	21226
203	5433	21203
204	5455	21157
205	5485	21144
206	5515	21130
207	5542	21103
208	5570	21083
209	5597	21057
210	5619	21012
211	5644	20978
212	5681	20990
213	5728	21039
214	5754	21009
215	5780	20979
216	5800	20930
217	5823	20889
218	5852	20869
219	5877	20836
220	5896	20784
221	5918	20740
222	5945	20717
223	5969	20678
224	5994	20647
225	6023	20630
226	6054	20615
227	6085	20604
228	6110	20573
229	6132	20531
230	6165	20523
231	6186	20478
232	6205	20427
233	6227	20386
234	6248	20341
235	6278	20326
236	6300	20282
237	6319	20233
238	6338	20183
239	6357	20133
240	6376	20081
241	6395	20033
242	6418	19995
243	6443	19964
244	6469	19935
245	6497	19916
246	6521	19881
247	6551	19865
248	6579	19843
249	6603	19809
250	6623	19765
251	6642	19717
252	6667	19686
253	6700	19679
254	6730	19664
255	6759	19644
256	6784	19615
257	6810	19587
258	6834	19552
259	6860	19526
260	6885	19494
261	6908	19460
262	6935	19435
263	6961	19408
264	6993	19396
265	7024	19384
266	7054	19367
267	7085	19354
268	7114	19333
269	7141	19309
270	7169	19285
271	7197	19264
272	7224	19240
273	7258	19232
274	7280	19193
275	7306	19165
276	7342	19163
277	7374	19152
278	7406	19139
279	7439	19129
280	7471	19116
281	7498	19091
282	7528	19072
283	7556	19050
284	7586	19031
285	7613	19006
286	7641	18984
287	7668	18958
288	7703	18953
289	7737	18943
290	7766	18923
291	7797	18906
292	7819	18868
293	7842	18831
294	7866	18799
295	7885	18753
296	7907	18716
297	7927	18675
298	7954	18648
299	7976	18610
300	8002	18584
301	8027	18552
302	8053	18524
303	8076	18491
304	8101	18459
305	8121	18420
306	8143	18382
307	8164	18344
308	8186	18308
309	8211	18277
310	8237	18249
311	8262	18219
312	8283	18181
313	8308	18151
314	8337	18130
315	8362	18100
316	8391	18079
317	8417	18051
318	8450	18039
319	8480	18020
320	8512	18007
321	8543	17988
322	8570	17962
323	8594	17931
324	8633	17931
325	8671	17928
326	8697	17901
327	8722	17870
328	8745	17836
329	8767	17800
330	8786	17759
331	8813	17733
332	8836	17700
333	8861	17670
334	8887	17641
335	8915	17618
336	8941	17590
337	8963	17556
338	8986	17523
339	9012	17494
340	9039	17469
341	9061	17433
342	9080	17392
343	9100	17355
344	9121	17317
345	9149	17294
346	9170	17256
347	9190	17218
348	9214	17187
349	9239	17159
350	9262	17126
351	9287	17098
352	9312	17067
353	9332	17030
354	9352	16992
355	9373	16956
356	9391	16915
357	9412	16879
358	9443	16861
359	9465	16827
360	9487	16794
361	9514	16767
362	9547	16754
363	9570	16721
364	9591	16686
365	9611	16650
366	9632	16613
367	9654	16580
368	9677	16548
369	9706	16526
370	9732	16500
371	9757	16472
372	9782	16444
373	9803	16409
374	9825	16375
375	9845	16340
376	9870	16310
377	9896	16284
378	9915	16246
379	9941	16220
380	9964	16189
381	9986	16156
382	10010	16126
383	10037	16101
384	10065	16079
385	10090	16050
386	10118	16027
387	10145	16002
388	10175	15983
389	10207	15966
390	10238	15947
391	10264	15920
392	10284	15885
393	10322	15876
394	10361	15869
395	10400	15863
396	10430	15842
397	10455	15814
398	10480	15787
399	10509	15764
400	10536	15738
401	10561	15710
402	10597	15698
403	10634	15687
404	10660	15662
405	10702	15657
406	10750	15662
407	10804	15676
408	10855	15686
409	10920	15714
410	10970	15722
411	11040	15756
412	11072	15737
413	11105	15720
