iter	RMSE
0	1.027827533
1	1.000980389
2	0.9701088509
3	0.9507976043
4	0.9250594808
5	0.900597821
6	0.8771043698
7	0.862501318
8	0.839784347
9	0.8166393858
10	0.8038415686
11	0.7907976515
12	0.771651991
13	0.7526070493
14	0.7361806485
15	0.7297931893
16	0.7187639046
17	0.7035688555
18	0.6907053916
19	0.6773360803
20	0.6640441545
21	0.6542529752
22	0.6439041208
23	0.6317401539
24	0.6201859992
25	0.6109038841
26	0.6030551321
27	0.5925911997
28	0.5830757837
29	0.5765792579
30	0.5670308521
31	0.5625030447
32	0.5562177382
33	0.5500115467
34	0.5420923408
35	0.5346893897
36	0.5285027681
37	0.5224180908
38	0.5174076569
39	0.5119153463
40	0.5059794551
41	0.4993321752
42	0.4944669026
43	0.4893996067
44	0.4856974926
45	0.4792307614
46	0.4764337573
47	0.471914744
48	0.4682240423
49	0.4647923768
50	0.461575071
51	0.4573314528
52	0.4526230444
53	0.4488598218
54	0.4462705173
55	0.443282481
56	0.4400544986
57	0.4377017088
58	0.4353151054
59	0.433555958
60	0.4310489337
61	0.4269399004
62	0.4252602659
63	0.4229696716
64	0.4206660143
65	0.419328291
66	0.4183601051
67	0.418137224
68	0.416878207
69	0.4150786437
70	0.4118082449
71	0.410402659
72	0.4099404153
73	0.4074750887
74	0.4057553981
75	0.4045007291
76	0.4023688025
77	0.4007480157
78	0.3992014673
79	0.3991207244
80	0.3983039244
81	0.396393642
82	0.3952241916
83	0.3936849248
84	0.3921586059
85	0.3903786839
86	0.3890140885
87	0.3890135985
88	0.3881594452
89	0.3873953853
90	0.386536336
91	0.3858128658
92	0.3842940635
93	0.3838336782
94	0.3837870342
95	0.3833265227
96	0.3819710109
97	0.3814052901
98	0.3801743756
99	0.3796602865
100	0.379197003
101	0.3781039227
102	0.3769835599
103	0.3754023071
104	0.3745818588
105	0.3741222035
106	0.3741220808
107	0.3738098318
108	0.3730229334
109	0.3720738992
110	0.3720679484
111	0.3713925657
112	0.3706682853
113	0.3701933618
114	0.3688803014
115	0.3679240776
116	0.3666489935
117	0.3664025027
118	0.3655576441
119	0.3652948662
120	0.3645018892
121	0.3639025087
122	0.3632386283
123	0.3617315643
124	0.3617010965
125	0.360341491
126	0.3593551771
127	0.3585151238
128	0.3577130969
129	0.3567954666
130	0.3565251448
131	0.3553849646
132	0.3548206
133	0.3548205239
134	0.3537894466
135	0.3527991612
136	0.3523907924
137	0.3514463317
138	0.3507425309
139	0.3504467972
140	0.350110364
141	0.3496847696
142	0.3488790552
143	0.3481722806
144	0.347389428
145	0.3468911679
146	0.3463202129
147	0.3459250186
148	0.3448871208
149	0.3437401401
150	0.3429118243
151	0.3415209805
152	0.3413271559
153	0.3407938717
154	0.3405141632
155	0.3399117324
156	0.3392564951
157	0.3384551759
158	0.3377649379
159	0.336822514
160	0.3360576197
161	0.3355398871
162	0.3344735349
163	0.3335509136
164	0.3326323061
165	0.3324685389
166	0.3318267556
167	0.3310828819
168	0.3301330591
169	0.3289693357
170	0.3287698595
171	0.3280119154
172	0.3273698824
173	0.3268105066
174	0.3258556153
175	0.3245550835
176	0.3241713754
177	0.3234319111
178	0.322648528
179	0.3221570882
180	0.3210941495
181	0.3199325183
182	0.3191858733
183	0.3185103255
184	0.3184067762
185	0.3177187083
186	0.3175681449
187	0.3171778202
188	0.3166761729
189	0.3155290695
190	0.3145399174
191	0.313827136
192	0.3130195374
193	0.3120966948
194	0.3113800777
195	0.310127216
196	0.3092629666
197	0.308697293
198	0.3078767501
199	0.3071107678
200	0.3059226791
201	0.3052966499
202	0.3042217473
203	0.3035863044
204	0.30300896
205	0.3018887104
206	0.3013182287
207	0.300603583
208	0.3002212227
209	0.299743022
210	0.2985903308
211	0.2980785289
212	0.2974323777
213	0.2970617868
214	0.2970136853
215	0.2964428499
216	0.2956889057
217	0.295626621
218	0.2948565511
219	0.2944430634
220	0.2938334123
221	0.2930263304
222	0.2927486222
223	0.2923315523
224	0.2920251847
225	0.2912416419
226	0.2905193961
227	0.2900268742
228	0.2891110847
229	0.2885794515
230	0.2875828525
231	0.2867007375
232	0.286232845
233	0.2851460139
234	0.2848046627
235	0.2845513095
236	0.2842375887
237	0.2832805558
238	0.2828949452
239	0.2825010223
240	0.2820993811
241	0.2810690573
242	0.2801660088
243	0.2800960072
244	0.2795158362
245	0.2794341141
246	0.2793914459
247	0.2787682267
248	0.2783825403
249	0.2774799678
250	0.2770838736
251	0.2769156947
252	0.276477327
253	0.2759270601
254	0.2754454145
255	0.2744172582
256	0.2735073379
257	0.273263511
258	0.2730356955
259	0.272109028
260	0.2716442816
261	0.2711597647
262	0.2706231512
263	0.2702997149
264	0.2693929865
265	0.2692618664
266	0.269189896
267	0.268820817
268	0.2682882534
269	0.2680029781
270	0.2673650093
271	0.2670238026
272	0.2668340752
273	0.2667964717
274	0.2663209768
275	0.2661240449
276	0.2654036112
277	0.2651033134
278	0.2650472649
279	0.2649653919
280	0.2649013381
281	0.2646988359
282	0.2642751268
283	0.2637540782
284	0.2629283784
285	0.2628224804
286	0.2622355009
287	0.262041609
288	0.2613276731
289	0.2607742982
290	0.2605727526
291	0.2605385935
292	0.2597233018
293	0.2588183617
294	0.2585501522
295	0.258368225
296	0.2581994917
297	0.2575804808
298	0.2569082192
299	0.2565179652
300	0.2564363629
301	0.2563836966
302	0.255729894
303	0.2550048926
304	0.2545418889
305	0.2542538525
306	0.2542126728
307	0.2540194827
308	0.2535376133
309	0.2529518375
310	0.2522030695
311	0.251818817
312	0.2514573791
313	0.2506394644
314	0.2500441809
315	0.2494470468
316	0.2491106307
317	0.2489146106
318	0.2480535988
319	0.2476732387
320	0.2473961704
321	0.247033107
322	0.2467626222
323	0.2464365269
324	0.2460062019
325	0.2455811493
326	0.2453546967
327	0.2450737191
328	0.2444370324
329	0.243670483
330	0.2433473165
331	0.2427038013
332	0.2423251385
333	0.2419009765
334	0.241502185
335	0.2408420073
336	0.2407657107
337	0.2407267445
338	0.2401319724
339	0.2400269819
340	0.2394941084
341	0.2393636317
342	0.2392306248
343	0.2390236363
344	0.2385886755
345	0.238368785
346	0.2380614052
347	0.2379350033
348	0.2375407472
349	0.2370761853
350	0.2368565256
351	0.236728961
352	0.2362144319
353	0.2359818689
354	0.2356452301
355	0.2349734375
356	0.2344875501
357	0.2342126613
358	0.2340683081
359	0.2336826133
360	0.2332089267
361	0.2329115826
362	0.2327319336
363	0.2325035779
364	0.2320335314
365	0.2318938576
366	0.2313056025
367	0.230955435
368	0.2302232932
369	0.2297885364
370	0.2291920682
371	0.2289765583
372	0.2285611233
373	0.228465905
374	0.2278265307
375	0.2273518849
376	0.226952588
377	0.2266376473
378	0.2261394669
379	0.225442265
380	0.225070488
381	0.2246673371
382	0.2242033222
383	0.2240834994
384	0.2237210006
385	0.2232448141
386	0.2228248839
387	0.2224943006
388	0.2221419255
389	0.2219258563
390	0.2214141061
391	0.220958491
392	0.2204546151
393	0.2199919829
394	0.219572188
395	0.2192755236
396	0.2188362941
397	0.2185543248
398	0.2181959158
399	0.2178212696
400	0.2177224657
401	0.2175009798
402	0.2170002791
403	0.2165860595
404	0.2163885342
405	0.2156816806
406	0.2156183816
407	0.2154303545
408	0.2149939166
409	0.2147442171
410	0.2143398355
411	0.2142251492
412	0.2139975801
413	0.2136823869
414	0.2135302742
415	0.2133031719
416	0.2132166063
417	0.2130234967
418	0.2128573036
419	0.2124929766
420	0.2120578507
421	0.2119652807
422	0.2118734762
423	0.2117444963
424	0.211582826
425	0.2114651262
426	0.2113332247
427	0.211177127
428	0.2109152478
429	0.210680827
430	0.2105338576
