iter	Passed	Remaining
0	39	31601
1	88	35319
2	139	37014
3	189	37786
4	242	38537
5	301	39875
6	352	39978
7	402	39800
8	454	39980
9	495	39112
10	535	38434
11	564	37048
12	609	36876
13	646	36298
14	697	36479
15	719	35259
16	766	35281
17	817	35494
18	862	35465
19	899	35083
20	946	35121
21	998	35320
22	1075	36338
23	1141	36921
24	1204	37353
25	1227	36527
26	1288	36888
27	1343	37044
28	1374	36552
29	1427	36637
30	1496	37133
31	1562	37503
32	1621	37695
33	1672	37673
34	1720	37607
35	1782	37838
36	1830	37741
37	1876	37629
38	1927	37608
39	1942	36910
40	1995	36945
41	2056	37109
42	2116	37253
43	2156	37046
44	2185	36668
45	2239	36706
46	2273	36418
47	2316	36291
48	2386	36571
49	2413	36200
50	2461	36145
51	2498	35939
52	2538	35782
53	2575	35573
54	2628	35598
55	2671	35488
56	2707	35295
57	2748	35158
58	2790	35048
59	2826	34865
60	2867	34742
61	2903	34562
62	2937	34366
63	2981	34284
64	3017	34120
65	3065	34097
66	3112	34046
67	3130	33696
68	3180	33694
69	3230	33684
70	3280	33686
71	3321	33581
72	3379	33653
73	3443	33781
74	3523	34063
75	3564	33954
76	3617	33970
77	3657	33851
78	3708	33847
79	3725	33529
80	3766	33436
81	3805	33320
82	3841	33184
83	3886	33131
84	3930	33060
85	3974	32996
86	4016	32919
87	4024	32565
88	4063	32459
89	4106	32391
90	4150	32338
91	4171	32103
92	4219	32080
93	4267	32052
94	4278	31748
95	4303	31559
96	4340	31457
97	4378	31365
98	4418	31288
99	4434	31043
100	4480	31011
101	4519	30928
102	4558	30850
103	4596	30760
104	4639	30708
105	4678	30631
106	4684	30338
107	4718	30233
108	4761	30188
109	4802	30127
110	4813	29876
111	4853	29813
112	4896	29770
113	4947	29773
114	4992	29740
115	5030	29661
116	5072	29608
117	5108	29523
118	5151	29483
119	5195	29439
120	5242	29420
121	5280	29345
122	5319	29278
123	5357	29206
124	5373	29015
125	5409	28936
126	5446	28864
127	5486	28805
128	5529	28763
129	5576	28740
130	5626	28731
131	5661	28652
132	5697	28574
133	5704	28350
134	5741	28283
135	5776	28203
136	5798	28060
137	5833	27985
138	5873	27928
139	5888	27760
140	5929	27711
141	5981	27715
142	6020	27660
143	6064	27626
144	6109	27596
145	6137	27494
146	6175	27434
147	6217	27388
148	6255	27333
149	6296	27286
150	6334	27225
151	6380	27201
152	6401	27071
153	6439	27011
154	6457	26870
155	6496	26819
156	6537	26775
157	6585	26760
158	6623	26701
159	6661	26644
160	6697	26580
161	6737	26534
162	6774	26475
163	6816	26434
164	6852	26371
165	6862	26210
166	6900	26157
167	6936	26096
168	6971	26031
169	7007	25967
170	7022	25829
171	7058	25771
172	7106	25755
173	7148	25717
174	7200	25715
175	7247	25695
176	7298	25690
177	7346	25672
178	7382	25613
