iter	RMSE
0	1.212558652
1	1.161811916
2	1.111238066
3	1.064144531
4	1.023228591
5	0.9844323445
6	0.9465987136
7	0.9121457826
8	0.8808422002
9	0.8506585816
10	0.8235942115
11	0.8000812871
12	0.7764072376
13	0.7556467675
14	0.735981206
15	0.7178339867
16	0.7001248981
17	0.6840880261
18	0.668223979
19	0.6541688023
20	0.6423856804
21	0.6303942831
22	0.6197707124
23	0.6094758974
24	0.6002676791
25	0.5920545887
26	0.5836278499
27	0.5759412507
28	0.5690032176
29	0.5625862566
30	0.5568797881
31	0.551249724
32	0.5459293934
33	0.5412563642
34	0.5364165309
35	0.53198877
36	0.5284149943
37	0.5247136036
38	0.521842412
39	0.5191009546
40	0.5162989957
41	0.5133514472
42	0.5099367088
43	0.5068710018
44	0.5036973345
45	0.4997380173
46	0.4958218816
47	0.4914517187
48	0.4870039623
49	0.4829717666
50	0.4795264887
51	0.4745908324
52	0.4715522162
53	0.4676434625
54	0.4648593665
55	0.4625953978
56	0.4594400399
57	0.4569113001
58	0.4542819739
59	0.4521314943
60	0.4504645704
61	0.4482996956
62	0.4466753728
63	0.4452300343
64	0.4437188347
65	0.4427555294
66	0.4413161258
67	0.4398622898
68	0.4389787389
69	0.4374714619
70	0.4366809421
71	0.4355289237
72	0.4347298265
73	0.4340794007
74	0.4333047011
75	0.432363127
76	0.4317376811
77	0.4313996427
78	0.4299627343
79	0.4288798373
80	0.428587671
81	0.4269415559
82	0.425596353
83	0.4244066032
84	0.4237171726
85	0.42319844
86	0.4226062057
87	0.4202663856
88	0.4193834672
89	0.4186958213
90	0.4178979911
91	0.4158947994
92	0.4155730332
93	0.415222339
94	0.4145201637
95	0.4127869251
96	0.4124380772
97	0.4115345678
98	0.4104360222
99	0.4100786927
100	0.4094827508
101	0.4077157491
102	0.406584438
103	0.4060719232
104	0.4057347228
105	0.4045295777
106	0.4038931524
107	0.4028307015
108	0.4025291924
109	0.4014979869
110	0.4007834169
111	0.4005121606
112	0.4001410152
113	0.3998736918
114	0.3989395903
115	0.3986118921
116	0.3983624979
117	0.3981132557
118	0.3978197312
119	0.3974102029
120	0.397255967
121	0.3963179685
122	0.3960963827
123	0.3942635782
124	0.3938247357
125	0.393157396
126	0.3920715719
127	0.3908503956
128	0.3901531758
129	0.389748766
130	0.3892057426
131	0.3885076217
132	0.3883150892
133	0.3877669637
134	0.3874436995
135	0.3871321859
136	0.3858384497
137	0.3856085368
138	0.3854698565
139	0.3851073867
140	0.3839312069
141	0.3835682713
142	0.3827168022
143	0.3823744557
144	0.3821442716
145	0.3819771227
146	0.3816661858
147	0.3811743633
148	0.3808801798
149	0.3803930614
150	0.380063084
151	0.3793063371
152	0.3778857194
153	0.3775218442
154	0.3771325724
155	0.3769769932
156	0.3762629854
157	0.3761293942
158	0.3757742872
159	0.3746726744
160	0.3741735286
161	0.3738664476
162	0.3732165445
163	0.372545792
164	0.3723981955
165	0.3723032523
166	0.3722187023
167	0.3715898588
168	0.3704323889
169	0.370306854
170	0.3701273454
171	0.3696696317
172	0.3691882229
173	0.3686237912
174	0.3682303311
175	0.3681416082
176	0.3675619057
177	0.3670689865
178	0.3669476846
179	0.3668260296
180	0.3666370569
181	0.3663622547
182	0.3652242932
183	0.3647766811
184	0.3644816046
185	0.3635707942
186	0.362595324
187	0.3620581123
188	0.3617612037
189	0.3615036409
190	0.3609639337
191	0.3606775463
192	0.3605142555
193	0.3593120917
194	0.3591822913
195	0.3582820226
196	0.357330952
197	0.3569613792
198	0.3568562833
199	0.3567599158
200	0.3560655847
201	0.3556119079
202	0.3555110509
203	0.3552506724
204	0.354815599
205	0.3545537425
206	0.3543526908
207	0.3528225826
208	0.3527374416
209	0.3522042122
210	0.3517484712
211	0.3516677773
212	0.3515917703
213	0.3508402344
214	0.3505068091
215	0.3503699769
216	0.3499849592
217	0.3497397872
218	0.3496572052
219	0.3495871476
220	0.3491193586
221	0.3487376744
222	0.3484874846
223	0.3483650344
224	0.3478416668
225	0.346526308
226	0.3462807169
227	0.3458561168
228	0.3452496605
229	0.3446142267
230	0.3436734288
231	0.3429633828
232	0.3426644245
233	0.3423995635
234	0.3415345962
235	0.3411502313
236	0.3408725079
237	0.3408442097
238	0.3407609771
239	0.3391078411
240	0.3390312105
241	0.3381851574
242	0.3379220258
243	0.3375672687
244	0.3373486537
245	0.337271576
246	0.3372294247
247	0.3371627023
248	0.3368422456
249	0.3360827814
250	0.335786251
251	0.3356611146
252	0.3352955933
253	0.3352129603
254	0.3351374558
255	0.3349999732
256	0.3349569223
257	0.3340078211
258	0.3338752541
259	0.3338032174
260	0.333573389
261	0.3327182537
262	0.3320487628
263	0.3317981983
264	0.3317432725
265	0.3313277011
266	0.3312731089
267	0.3312561375
268	0.3311790397
269	0.3309298847
270	0.3308841801
271	0.3301281446
272	0.3293477317
273	0.3292021216
274	0.3290769032
275	0.3290029799
276	0.3286343619
277	0.3277905042
278	0.3272199421
279	0.3268450619
280	0.3267958356
281	0.3267254728
282	0.3265882724
283	0.3265512149
284	0.3256101442
285	0.3255434663
286	0.3254704841
287	0.3249840734
288	0.3249161371
289	0.3248236427
290	0.3244739715
291	0.3239553904
292	0.3236752263
293	0.3236474514
294	0.3233967856
295	0.3233180309
296	0.3232802027
297	0.3227962941
298	0.3219167504
299	0.3218655665
300	0.3206999152
301	0.3203628701
302	0.3199346975
303	0.319920403
304	0.3194603927
305	0.3190200604
306	0.3186743435
307	0.3184144841
308	0.3182515368
309	0.3175155679
310	0.3172795687
311	0.3168057304
312	0.3165159514
313	0.316018429
314	0.31580208
315	0.3155034875
316	0.3151573524
317	0.3150646943
318	0.3149779713
319	0.3138673249
320	0.3136169748
321	0.3134067262
322	0.3133471846
323	0.3129069982
324	0.3128742694
325	0.3126764302
326	0.3126477648
327	0.3126156108
328	0.3125270031
329	0.312050445
330	0.311785666
331	0.3114351722
332	0.3110206709
333	0.3109952281
334	0.3109390622
335	0.3108749274
336	0.310495117
337	0.3103277846
338	0.3100813213
339	0.3096074503
340	0.309418429
341	0.3089668722
342	0.3089299305
343	0.3085306875
344	0.3084742782
345	0.3083103952
346	0.3081270786
347	0.3076228505
348	0.3067569444
349	0.3066781733
350	0.3063322064
351	0.3056744601
352	0.3054587894
353	0.3046713058
354	0.3044455342
355	0.3039347369
356	0.3037285613
357	0.3036349964
358	0.3034764081
359	0.303423403
360	0.3033982079
361	0.3033777814
362	0.3033492555
363	0.3031795369
364	0.3028523964
365	0.3027752082
366	0.3022752886
367	0.3019405123
368	0.3017280009
369	0.3015223335
370	0.3012372768
371	0.3007931949
372	0.3004830238
373	0.2997640762
374	0.2997463346
375	0.299604349
376	0.2993351961
377	0.2993176242
378	0.2992039307
379	0.2989895813
380	0.2989798094
381	0.2987779971
382	0.2985759432
383	0.298264696
384	0.2976863772
385	0.2976682992
386	0.2976198164
387	0.2976123926
388	0.2974260844
389	0.2974127479
390	0.2973249961
391	0.2970129711
392	0.2968116167
393	0.2966509988
394	0.2962954195
395	0.2955585094
396	0.2955298727
397	0.2955179794
398	0.2948424724
399	0.2943894513
400	0.294251133
401	0.2942369499
402	0.2940619222
403	0.2940085476
404	0.2939688389
405	0.2937163926
406	0.2936563548
407	0.2932801542
408	0.2931957454
409	0.2927002251
410	0.2923618041
411	0.29222363
412	0.2920578606
413	0.2917071008
414	0.2916497546
415	0.291180804
416	0.2909570045
417	0.29050908
418	0.2901207277
419	0.2898789778
420	0.2898083889
421	0.2895351851
422	0.2894282759
423	0.2888724196
424	0.2887357965
425	0.288308555
426	0.2882817264
427	0.2880755793
428	0.2873656998
429	0.2872225909
430	0.2866215953
431	0.2863533047
432	0.2862569558
433	0.2859496357
434	0.2857877808
435	0.2850160414
436	0.2847785608
437	0.2846460633
438	0.2841260419
439	0.2840496968
440	0.2840253038
441	0.2834641308
442	0.2830581552
443	0.2827931556
444	0.2826813985
445	0.2821936042
446	0.2815668857
447	0.2815005032
448	0.281381166
449	0.2811492357
450	0.2803063128
451	0.2802664351
452	0.2802122086
453	0.280176543
454	0.2799882745
455	0.2795268719
456	0.2793564807
457	0.2793236476
458	0.2789225339
459	0.2784150172
460	0.2782868487
461	0.2782548913
462	0.2780496801
463	0.2780192824
464	0.2779374773
465	0.2777957778
466	0.2768139612
467	0.27591109
468	0.2756319324
469	0.2747984142
470	0.2747642685
471	0.2741403701
472	0.2736041633
473	0.2734385606
474	0.2734192256
475	0.2730931564
476	0.272841936
477	0.2727744147
478	0.2727325777
479	0.2722801415
480	0.2718246332
481	0.2717512107
482	0.2716088657
483	0.2714012632
484	0.2709030521
485	0.2706115242
486	0.2704234456
487	0.2702145132
488	0.2700986567
489	0.2696994584
490	0.2691426811
491	0.2688693534
492	0.2687268137
493	0.2682803228
494	0.2680128808
495	0.2679914934
496	0.2675704473
497	0.2673228063
498	0.2669847779
499	0.2664528594
500	0.2664121226
501	0.2664044894
502	0.2659292397
503	0.2656856915
504	0.2655235563
505	0.2654678256
506	0.2654392207
507	0.2648947868
508	0.2648879243
509	0.2648183053
510	0.2646802357
511	0.2646743987
512	0.2645336549
513	0.2644436784
514	0.2642541719
515	0.2637976446
516	0.2636858965
517	0.2632724607
518	0.262896956
519	0.2626047671
520	0.2625263679
521	0.2623246072
522	0.2619371828
523	0.2619097717
524	0.2613782004
525	0.2612531098
526	0.2609562876
527	0.2608434853
528	0.2608344982
529	0.2605997627
530	0.260480956
531	0.2602662088
532	0.2599795371
533	0.2598627778
534	0.2595695111
535	0.259359168
536	0.25910661
537	0.259084857
538	0.2590812506
539	0.2590358002
540	0.2587647604
541	0.2583241746
542	0.2577150903
543	0.2575013916
544	0.257301845
545	0.2571082329
546	0.2569446111
547	0.2569032508
548	0.2565205678
549	0.2563329356
550	0.256311231
551	0.2560871373
552	0.2558725696
553	0.2556626116
554	0.2553845713
555	0.2548860544
556	0.254753488
557	0.2546441183
558	0.2546407204
559	0.254612717
560	0.2545193056
561	0.2542034199
562	0.254180359
563	0.2539137012
564	0.2535938027
565	0.2534609019
566	0.2532568125
567	0.2529493872
568	0.2528451538
569	0.2526853028
570	0.2526047752
571	0.2526000564
572	0.2524872777
573	0.2523413813
574	0.2519338415
575	0.2517324228
576	0.2517175156
577	0.2517091942
578	0.2515234824
579	0.2513831085
580	0.251145404
581	0.2509569769
582	0.2507446997
583	0.2505909927
584	0.2504812906
585	0.2504003262
586	0.2503282728
587	0.2501715328
588	0.2499561298
589	0.2498552009
590	0.2497565091
591	0.2493259323
592	0.2491746296
593	0.2491558513
594	0.2491357972
595	0.248972468
596	0.2483128254
597	0.2482946094
598	0.2478395228
599	0.2474445516
600	0.2472305753
601	0.2470255514
602	0.2466590218
603	0.246365205
604	0.2461536732
605	0.2459132798
606	0.2450868475
607	0.2450096139
608	0.2444904686
609	0.244283809
610	0.2442660269
611	0.2441670683
612	0.243898304
613	0.2438406873
614	0.2437028244
615	0.24321555
616	0.242988869
617	0.2428922155
618	0.2428720693
619	0.2426828065
620	0.2425938457
621	0.2422424746
622	0.2421613014
623	0.241734548
624	0.2417070137
625	0.241548462
626	0.2414807712
627	0.2411307393
628	0.2408696017
629	0.2407886271
630	0.240751619
631	0.2405144825
632	0.2402596006
633	0.2402229506
634	0.2400696747
635	0.2399728846
636	0.2399233141
637	0.2398267067
638	0.2396237534
639	0.2394502481
640	0.2392633916
641	0.2391037149
642	0.2390680687
643	0.2389885327
644	0.2385436456
645	0.238392637
646	0.2381507303
647	0.2380521316
648	0.2377595221
649	0.2375350061
650	0.2375130147
651	0.2371426296
652	0.2368767523
653	0.236779731
654	0.2364085064
655	0.2361942038
656	0.2355096055
657	0.2354894744
658	0.2354123269
659	0.2352136834
660	0.2350230024
661	0.2346472655
662	0.2345439192
663	0.234364897
664	0.2343587422
665	0.2343218173
666	0.2341635432
667	0.2338823948
668	0.2332836864
669	0.2331680268
670	0.2329926451
671	0.2328481196
672	0.2327379092
673	0.2325749634
674	0.2324782997
675	0.2323360305
676	0.2320818761
677	0.2318636674
678	0.2317943555
679	0.2316760155
680	0.2314909917
681	0.2312334178
682	0.2308437088
683	0.2306425893
684	0.2306093731
685	0.2303917596
686	0.2302420596
687	0.2301114876
688	0.2299955812
689	0.2299288563
690	0.2298957503
691	0.2298059815
692	0.2296488884
693	0.2296339667
694	0.2294767136
695	0.2293518623
696	0.2293063988
697	0.2292882904
698	0.2289732093
699	0.2288032279
700	0.2287490613
701	0.2285225644
702	0.228425081
703	0.2283310757
704	0.2283091311
705	0.2282111564
706	0.2280485241
707	0.2276436271
708	0.2273541562
709	0.2272272515
710	0.2271092445
711	0.226534978
712	0.2263514274
713	0.2263364745
714	0.2261392555
715	0.2260761708
716	0.225920919
717	0.2258853293
718	0.2256775856
719	0.2256037826
720	0.2255493843
721	0.2254739182
722	0.2253038565
723	0.225192976
724	0.2250757079
725	0.2250361211
726	0.2245617101
727	0.2244945825
728	0.2241696981
729	0.2241169202
730	0.2240860445
731	0.223913947
732	0.2238422216
733	0.2237272813
734	0.2236314136
735	0.2232185813
736	0.2230121824
737	0.2230035639
738	0.222448272
739	0.2223794412
740	0.2216706267
741	0.2215870069
742	0.2212986451
743	0.2208700166
744	0.2208663538
745	0.2208335345
746	0.2207862612
747	0.2205742826
748	0.2197126753
