iter	Passed	Remaining
0	38	46658
1	70	42012
2	107	42971
3	143	42994
4	173	41487
5	213	42560
6	253	43245
7	296	44176
8	338	44800
9	379	45206
10	419	45362
11	455	45100
12	491	44869
13	525	44504
14	560	44265
15	597	44229
16	634	44147
17	671	44110
18	716	44524
19	755	44603
20	797	44753
21	842	45131
22	880	45053
23	922	45184
24	970	45603
25	1028	46458
26	1074	46698
27	1114	46662
28	1148	46392
29	1178	45976
30	1212	45712
31	1254	45790
32	1294	45777
33	1332	45684
34	1369	45579
35	1403	45384
36	1441	45324
37	1480	45267
38	1515	45121
39	1546	44862
40	1576	44555
41	1605	44255
42	1639	44115
43	1668	43824
44	1698	43591
45	1734	43515
46	1775	43559
47	1814	43556
48	1859	43670
49	1895	43600
50	1928	43451
51	1969	43485
52	1998	43241
53	2032	43139
54	2061	42921
55	2095	42809
56	2130	42720
57	2170	42739
58	2212	42784
59	2255	42858
60	2307	43091
61	2343	43015
62	2377	42902
63	2414	42861
64	2454	42853
65	2490	42795
66	2535	42870
67	2565	42709
68	2610	42784
69	2654	42855
70	2701	42960
71	2745	43012
72	2789	43062
73	2840	43219
74	2885	43286
75	2929	43323
76	2968	43298
77	3019	43430
78	3066	43506
79	3111	43565
80	3162	43688
81	3207	43736
82	3250	43742
83	3292	43747
84	3330	43693
85	3377	43753
86	3409	43617
87	3445	43537
88	3480	43452
89	3534	43589
90	3574	43564
91	3613	43524
92	3652	43472
93	3689	43404
94	3719	43263
95	3753	43162
96	3798	43192
97	3833	43108
98	3863	42972
99	3907	42984
100	3948	42964
101	3991	42968
102	4035	42975
103	4083	43032
104	4129	43063
105	4178	43126
106	4220	43117
107	4261	43092
108	4302	43066
109	4336	42973
110	4380	42978
111	4417	42916
112	4457	42882
113	4490	42779
114	4530	42748
115	4576	42769
116	4616	42731
117	4660	42732
118	4693	42637
119	4722	42506
120	4766	42503
121	4798	42402
122	4831	42303
123	4882	42365
124	4917	42287
125	4961	42290
126	5020	42415
127	5061	42389
128	5109	42424
129	5149	42384
130	5190	42352
131	5226	42283
132	5264	42231
133	5299	42154
134	5330	42054
135	5364	41969
136	5398	41887
137	5433	41812
138	5467	41733
139	5511	41731
140	5555	41729
141	5594	41686
142	5623	41566
143	5649	41430
144	5676	41304
145	5714	41254
146	5756	41235
147	5804	41259
148	5844	41225
149	5883	41181
150	5922	41144
151	5965	41127
152	6003	41081
153	6044	41055
154	6083	41011
155	6115	40923
156	6151	40864
157	6184	40788
158	6220	40727
159	6251	40637
160	6291	40602
161	6320	40495
162	6359	40457
163	6394	40395
164	6430	40339
165	6486	40406
166	6532	40406
167	6577	40407
168	6625	40422
169	6669	40408
170	6702	40334
171	6739	40279
172	6777	40233
173	6818	40205
174	6863	40198
175	6907	40188
176	6940	40113
177	6978	40066
178	7012	39998
179	7047	39936
180	7080	39864
181	7122	39838
182	7167	39831
183	7205	39786
184	7241	39732
185	7273	39653
186	7309	39595
187	7340	39514
188	7378	39466
189	7411	39400
190	7441	39312
191	7467	39205
192	7498	39124
193	7527	39032
194	7557	38947
195	7595	38905
196	7630	38849
197	7659	38762
198	7692	38693
199	7725	38628
200	7758	38562
201	7788	38478
202	7816	38388
203	7844	38298
204	7883	38264
205	7923	38233
206	7963	38200
207	8003	38172
208	8038	38116
209	8071	38051
210	8102	37976
211	8134	37911
212	8177	37890
213	8219	37873
214	8253	37810
215	8285	37747
216	8322	37702
217	8354	37633
218	8386	37567
219	8416	37491
220	8448	37427
221	8488	37395
222	8525	37350
223	8562	37307
224	8596	37251
225	8642	37247
226	8674	37182
227	8714	37151
228	8755	37126
229	8803	37125
230	8850	37125
231	8894	37113
232	8935	37082
233	8981	37078
234	9023	37052
235	9061	37013
236	9092	36945
237	9121	36870
238	9152	36803
239	9185	36740
240	9230	36729
241	9271	36702
242	9317	36693
243	9368	36705
244	9416	36705
245	9453	36662
246	9483	36588
247	9510	36507
248	9539	36432
249	9565	36350
250	9594	36274
251	9629	36226
252	9668	36189
253	9713	36175
254	9758	36162
255	9797	36128
256	9835	36089
257	9874	36054
258	9911	36009
259	9941	35942
260	9968	35864
261	10004	35816
262	10046	35794
263	10090	35774
264	10138	35773
265	10187	35771
266	10231	35754
267	10276	35735
268	10310	35685
269	10347	35641
270	10378	35576
271	10413	35529
272	10445	35467
273	10486	35438
274	10531	35424
275	10584	35433
276	10640	35453
277	10683	35433
278	10729	35417
279	10772	35393
280	10819	35383
281	10860	35353
282	10902	35328
283	10946	35305
284	10989	35281
285	11038	35276
286	11078	35243
287	11112	35190
288	11151	35153
289	11193	35125
290	11229	35079
291	11267	35035
292	11306	35000
293	11340	34947
294	11371	34886
295	11411	34852
296	11444	34796
297	11474	34732
298	11513	34695
299	11557	34671
300	11597	34637
301	11634	34595
302	11672	34555
303	11710	34513
304	11741	34454
305	11766	34377
306	11795	34310
307	11829	34259
308	11874	34239
309	11913	34202
310	11945	34147
311	11978	34093
312	12011	34037
313	12040	33973
314	12067	33903
315	12095	33835
316	12123	33770
317	12153	33708
318	12188	33662
319	12224	33618
320	12263	33581
321	12304	33551
322	12336	33495
323	12372	33452
324	12412	33416
325	12455	33393
326	12482	33326
327	12515	33271
328	12551	33227
329	12583	33174
330	12633	33166
331	12674	33138
332	12716	33107
333	12762	33090
334	12809	33076
335	12859	33066
336	12899	33033
337	12933	32984
338	12978	32963
339	13027	32952
340	13066	32916
341	13103	32874
342	13142	32836
343	13179	32795
344	13208	32734
345	13241	32682
346	13277	32638
347	13307	32580
348	13341	32530
349	13370	32471
350	13399	32410
351	13432	32360
352	13467	32313
353	13496	32254
354	13537	32222
355	13577	32189
356	13619	32161
357	13653	32113
358	13686	32061
359	13725	32025
360	13756	31971
361	13786	31914
362	13826	31881
363	13863	31840
364	13902	31804
365	13936	31755
366	13961	31688
367	13999	31651
368	14026	31587
369	14054	31528
370	14086	31475
371	14116	31420
372	14146	31364
373	14172	31301
374	14200	31240
375	14238	31203
376	14279	31172
377	14311	31122
378	14343	31072
379	14377	31024
380	14416	30990
381	14446	30935
382	14479	30886
383	14516	30846
384	14553	30807
385	14587	30761
386	14619	30711
387	14656	30672
388	14687	30621
389	14714	30559
390	14744	30508
391	14775	30455
392	14818	30427
393	14852	30383
394	14884	30333
395	14912	30277
396	14945	30229
397	14979	30185
398	15024	30162
399	15074	30148
400	15121	30129
401	15159	30092
402	15205	30070
403	15250	30048
404	15282	29999
405	15316	29953
406	15349	29906
407	15385	29865
408	15417	29817
409	15450	29769
410	15483	29723
411	15558	29758
412	15594	29715
413	15635	29684
414	15681	29661
415	15722	29631
416	15765	29603
417	15802	29562
418	15840	29526
419	15878	29488
420	15915	29448
421	15945	29397
422	15976	29347
423	16017	29314
424	16051	29271
425	16093	29240
426	16132	29205
427	16163	29155
428	16193	29103
429	16225	29055
430	16269	29027
431	16304	28986
432	16336	28937
433	16373	28899
434	16409	28857
435	16443	28814
436	16477	28769
437	16526	28752
438	16565	28715
439	16599	28672
440	16632	28626
441	16670	28588
442	16704	28543
443	16738	28500
444	16769	28452
445	16806	28412
446	16836	28362
447	16870	28318
448	16909	28283
449	16948	28247
450	16989	28214
451	17032	28186
452	17080	28166
453	17130	28147
454	17170	28114
455	17206	28073
456	17245	28038
457	17284	28001
458	17338	27990
459	17379	27957
460	17415	27918
461	17455	27883
462	17498	27853
463	17537	27818
464	17580	27787
465	17619	27752
466	17662	27723
467	17699	27683
468	17738	27647
469	17781	27618
470	17820	27582
471	17863	27552
472	17911	27530
473	17960	27508
474	18003	27479
475	18051	27456
476	18081	27407
477	18119	27368
478	18154	27325
479	18190	27286
480	18249	27280
481	18290	27246
482	18326	27205
483	18360	27161
484	18395	27119
485	18452	27109
486	18500	27085
487	18543	27054
488	18582	27019
489	18614	26971
490	18642	26918
491	18678	26879
492	18722	26850
493	18768	26822
494	18814	26797
495	18861	26771
496	18907	26744
497	18955	26720
498	19001	26692
499	19043	26660
500	19079	26619
501	19122	26589
502	19171	26566
503	19216	26537
504	19253	26496
505	19283	26448
506	19311	26396
507	19339	26344
508	19371	26297
509	19400	26247
510	19435	26206
511	19473	26167
512	19520	26141
513	19550	26092
514	19580	26043
515	19616	26002
516	19650	25960
517	19687	25920
518	19725	25881
519	19761	25842
520	19801	25806
521	19849	25781
522	19893	25750
523	19934	25717
524	19976	25684
525	20016	25648
526	20049	25604
527	20085	25563
528	20126	25529
529	20164	25490
530	20205	25456
531	20239	25413
532	20271	25368
533	20307	25326
534	20341	25283
535	20376	25242
536	20406	25194
537	20442	25153
538	20473	25108
539	20512	25070
540	20547	25029
541	20582	24987
542	20615	24944
543	20644	24895
544	20676	24849
545	20709	24806
546	20765	24789
547	20793	24740
548	20826	24695
549	20857	24649
550	20897	24613
551	20939	24580
552	20987	24554
553	21029	24521
554	21073	24490
555	21116	24458
556	21162	24429
557	21205	24397
558	21242	24358
559	21280	24320
560	21318	24282
561	21357	24245
562	21387	24198
563	21417	24151
564	21449	24107
565	21491	24073
566	21537	24044
567	21567	23997
568	21599	23953
569	21636	23914
570	21677	23879
571	21706	23831
572	21746	23795
573	21784	23758
574	21823	23721
575	21855	23676
576	21886	23631
577	21917	23585
578	21952	23544
579	21981	23497
580	22011	23451
581	22038	23402
582	22080	23368
583	22116	23328
584	22151	23287
585	22194	23254
586	22235	23220
587	22276	23185
588	22311	23145
589	22360	23118
590	22392	23074
591	22428	23034
592	22467	22997
593	22506	22960
594	22543	22922
595	22578	22881
596	22618	22846
597	22654	22805
598	22697	22773
599	22753	22753
600	22786	22710
601	22822	22671
602	22865	22637
603	22912	22609
604	22958	22579
605	23004	22549
606	23044	22513
607	23079	22472
608	23133	22449
609	23172	22412
610	23210	22375
611	23246	22335
612	23280	22293
613	23311	22248
614	23345	22206
615	23380	22165
616	23414	22123
617	23445	22079
618	23477	22035
619	23510	21993
620	23542	21950
621	23582	21914
622	23621	21876
623	23650	21831
624	23677	21783
625	23706	21737
626	23731	21688
627	23771	21651
628	23807	21612
629	23840	21569
630	23883	21536
631	23927	21504
632	23974	21474
633	24013	21437
634	24051	21399
635	24100	21372
636	24147	21342
637	24187	21306
638	24230	21272
639	24268	21234
640	24308	21198
641	24352	21165
642	24400	21136
643	24446	21106
644	24492	21074
645	24532	21038
646	24573	21003
647	24616	20969
648	24659	20935
649	24700	20900
650	24743	20866
651	24792	20838
652	24838	20806
653	24878	20770
654	24920	20735
655	24960	20699
656	25007	20667
657	25051	20635
658	25088	20596
659	25131	20561
660	25178	20531
661	25210	20488
662	25249	20451
663	25292	20416
664	25334	20381
665	25379	20349
666	25420	20313
667	25459	20276
668	25507	20245
669	25541	20204
670	25576	20163
671	25613	20125
672	25650	20086
673	25685	20045
674	25720	20005
675	25755	19964
676	25790	19923
677	25820	19879
678	25848	19833
679	25880	19790
680	25910	19746
681	25935	19698
682	25965	19654
683	25994	19609
684	26027	19567
685	26054	19521
686	26083	19477
687	26111	19431
688	26137	19384
689	26167	19341
690	26196	19296
691	26222	19249
692	26248	19203
693	26275	19157
694	26308	19116
695	26334	19069
696	26360	19023
697	26407	18992
698	26444	18953
699	26472	18909
700	26498	18863
701	26531	18821
702	26558	18775
703	26588	18732
704	26618	18689
705	26643	18643
706	26670	18597
707	26698	18552
708	26725	18508
709	26752	18463
710	26784	18421
711	26812	18377
712	26844	18335
713	26871	18290
714	26907	18251
715	26941	18212
716	26976	18172
717	27006	18130
718	27041	18090
719	27079	18052
720	27121	18018
721	27163	17983
722	27209	17951
723	27267	17927
724	27310	17892
725	27353	17858
726	27397	17825
727	27436	17788
728	27487	17759
729	27533	17727
730	27581	17695
731	27622	17660
732	27673	17630
733	27716	17596
734	27763	17564
735	27810	17532
736	27848	17495
737	27890	17460
738	27931	17424
739	27962	17381
740	28004	17346
741	28049	17313
742	28101	17284
743	28144	17249
744	28190	17217
745	28234	17183
746	28280	17150
747	28322	17114
748	28357	17075
749	28404	17042
750	28446	17007
751	28498	16978
752	28533	16938
753	28570	16899
754	28611	16863
755	28653	16828
756	28709	16801
757	28750	16764
758	28798	16732
759	28841	16697
760	28886	16663
761	28931	16630
762	28977	16596
763	29034	16569
764	29093	16543
765	29135	16507
766	29180	16473
767	29219	16435
768	29262	16400
769	29299	16361
770	29344	16328
771	29388	16293
772	29429	16256
773	29466	16217
774	29511	16183
775	29558	16150
776	29620	16125
777	29666	16091
778	29718	16060
779	29764	16026
780	29812	15993
781	29850	15955
782	29889	15918
783	29938	15885
784	29976	15847
785	30036	15820
786	30081	15786
787	30131	15753
788	30173	15717
789	30209	15678
790	30241	15637
791	30279	15598
792	30322	15562
793	30354	15521
794	30387	15480
795	30428	15443
796	30476	15410
797	30530	15379
798	30572	15343
799	30618	15309
800	30659	15272
801	30704	15237
802	30738	15196
803	30804	15172
804	30844	15134
805	30876	15093
806	30910	15053
807	30960	15020
808	31004	14984
809	31046	14948
810	31080	14907
811	31116	14868
812	31156	14830
813	31200	14795
814	31234	14755
815	31277	14718
816	31311	14678
817	31348	14639
818	31383	14599
819	31421	14561
820	31466	14525
821	31513	14491
822	31557	14456
823	31598	14418
824	31646	14384
825	31679	14344
826	31723	14308
827	31766	14271
828	31799	14231
829	31838	14193
830	31880	14156
831	31925	14121
832	31972	14086
833	32021	14052
834	32071	14019
835	32114	13983
836	32152	13944
837	32193	13906
838	32230	13868
839	32270	13830
840	32317	13795
841	32363	13760
842	32404	13723
843	32447	13686
844	32491	13650
845	32543	13617
846	32601	13587
847	32641	13549
848	32678	13510
849	32716	13471
850	32761	13435
851	32797	13396
852	32832	13356
853	32866	13315
854	32894	13273
855	32925	13231
856	32969	13195
857	32999	13153
858	33036	13114
859	33081	13078
860	33122	13041
861	33171	13007
862	33219	12972
863	33263	12935
864	33306	12898
865	33353	12863
866	33402	12829
867	33445	12792
868	33491	12756
869	33525	12716
870	33565	12678
871	33613	12643
872	33654	12605
873	33699	12569
874	33743	12533
875	33791	12498
876	33828	12458
877	33866	12420
878	33901	12380
879	33935	12340
880	33972	12300
881	34009	12261
882	34046	12222
883	34082	12183
884	34114	12142
885	34148	12102
886	34185	12063
887	34216	12022
888	34249	11981
889	34291	11944
890	34339	11908
891	34386	11873
892	34427	11835
893	34469	11798
894	34502	11757
895	34533	11716
896	34582	11681
897	34615	11641
898	34655	11603
899	34692	11564
900	34723	11522
901	34752	11481
902	34785	11441
903	34816	11399
904	34841	11357
905	34866	11314
906	34891	11271
907	34928	11232
908	34965	11193
909	35002	11154
910	35041	11116
911	35100	11084
912	35138	11045
913	35173	11006
914	35209	10966
915	35239	10925
916	35272	10885
917	35309	10846
918	35358	10811
919	35397	10773
920	35442	10736
921	35480	10698
922	35515	10658
923	35552	10619
924	35590	10580
925	35630	10542
926	35679	10507
927	35725	10471
928	35758	10431
929	35801	10393
930	35840	10355
931	35882	10318
932	35915	10277
933	35948	10238
934	35983	10198
935	36018	10159
936	36051	10119
937	36088	10080
938	36121	10040
939	36158	10001
940	36199	9963
941	36236	9924
942	36275	9886
943	36312	9847
944	36345	9807
945	36370	9765
946	36408	9726
947	36452	9689
948	36497	9653
949	36543	9616
950	36585	9579
951	36619	9539
952	36651	9499
953	36681	9458
954	36713	9418
955	36769	9384
956	36825	9350
957	36859	9311
958	36893	9271
959	36923	9230
960	36960	9192
961	37007	9155
962	37050	9118
963	37087	9079
964	37126	9041
965	37167	9003
966	37219	8968
967	37256	8929
968	37291	8890
969	37330	8851
970	37362	8811
971	37397	8772
972	37435	8733
973	37475	8695
974	37508	8655
975	37546	8617
976	37584	8578
