iter	RMSE
0	1.157785852
1	1.084263841
2	1.011144967
3	0.9412564109
4	0.9113379973
5	0.8576845467
6	0.8011468047
7	0.7817850287
8	0.7349492731
9	0.6973607735
10	0.697360769
11	0.695792081
12	0.6722717021
13	0.659097221
14	0.6590967269
15	0.6397192111
16	0.6174885447
17	0.605783692
18	0.5805797886
19	0.5592041381
20	0.5491223572
21	0.5340901588
22	0.5225543552
23	0.5074638189
24	0.4940016929
25	0.4796911895
26	0.4691743173
27	0.4632772903
28	0.4592583965
29	0.4572176949
30	0.4507842612
31	0.4478979679
32	0.4380432938
33	0.438042829
34	0.4302517569
35	0.4293669318
36	0.4272081706
37	0.4221561464
38	0.4183061735
39	0.4151379014
40	0.4123757503
41	0.4087210702
42	0.4050103983
43	0.3986063065
44	0.3950983013
45	0.390773135
46	0.3870227602
47	0.38480523
48	0.3790369959
49	0.3751973629
50	0.368294026
51	0.3642812452
52	0.3605489101
53	0.3562452463
54	0.3513873511
55	0.3462185884
56	0.3428584543
57	0.3403446725
58	0.3372164468
59	0.3344872137
60	0.3344274393
61	0.3307344286
62	0.3288175774
63	0.3247357908
64	0.3209022818
65	0.3180106497
66	0.31503418
67	0.3127504055
68	0.3105470944
69	0.3089208939
70	0.3064445765
71	0.3054326465
72	0.3030429233
73	0.3003528367
74	0.2987666739
75	0.2977349902
76	0.2936454201
77	0.291579944
78	0.2883990873
79	0.2867326245
80	0.2852204042
81	0.2841308959
82	0.2825916701
83	0.2800541179
84	0.2796825181
85	0.2788799205
86	0.277855749
87	0.2766737007
88	0.2759000244
89	0.2749611742
90	0.2739340126
91	0.2728484778
92	0.2706152095
93	0.26878124
94	0.2681593774
95	0.2653399854
96	0.2647594911
97	0.2634171318
98	0.2619290258
99	0.2608069991
100	0.2580192755
101	0.2574648437
102	0.2566544914
103	0.2559172419
104	0.2552350899
105	0.2532074849
106	0.2507649626
107	0.2488818927
108	0.247078975
109	0.2453305282
110	0.2442331328
111	0.2416703714
112	0.240300607
113	0.2380809044
114	0.2368502843
115	0.2340322722
116	0.2335320995
117	0.2329752667
118	0.2318786781
119	0.2303235384
120	0.2285166868
121	0.2280020524
122	0.2274625735
123	0.2270368087
124	0.2254753685
125	0.2231065724
126	0.2224939702
127	0.2222154486
128	0.2213105116
129	0.2202766074
130	0.2197959287
131	0.2181004776
132	0.2171876383
133	0.2162161991
134	0.2151762868
135	0.2149783559
136	0.2138845988
