iter	RMSE
0	0.8611378659
1	0.8296226378
2	0.7990611647
3	0.7705568854
4	0.7425607996
5	0.7160504007
6	0.6917294835
7	0.6691727581
8	0.6467705781
9	0.6253983897
10	0.6055726056
11	0.5857968724
12	0.5675826383
13	0.5506161146
14	0.5340360155
15	0.5188080637
16	0.5041438953
17	0.4902393282
18	0.4766593184
19	0.4640186973
20	0.4523000455
21	0.4409332567
22	0.4307834992
23	0.4210572823
24	0.4116629415
25	0.4025651733
26	0.3942306354
27	0.3863147731
28	0.3784670478
29	0.3710195016
30	0.3638175273
31	0.3576766474
32	0.351364641
33	0.3457596609
34	0.3403634577
35	0.3349691641
36	0.330036425
37	0.3251352807
38	0.3208746109
39	0.3165841366
40	0.3124388192
41	0.3086020604
42	0.3049189742
43	0.3017409056
44	0.2985121428
45	0.295546616
46	0.2928401368
47	0.2902683178
48	0.287817418
49	0.2852866084
50	0.2827737119
51	0.2803681988
52	0.2781137213
53	0.2762172107
54	0.274076016
55	0.2721886294
56	0.2702552494
57	0.2684511177
58	0.2669893915
59	0.2653427373
60	0.2634619393
61	0.2617470971
62	0.2605379777
63	0.2590884253
64	0.2575220267
65	0.2560303226
66	0.2546674691
67	0.2534476982
68	0.252007267
69	0.2507834022
70	0.24951122
71	0.2484241883
72	0.2472688278
73	0.2458138847
74	0.2446016524
75	0.2435216388
76	0.2424283474
77	0.2414516921
78	0.2405446622
79	0.2394674329
80	0.2388425434
81	0.2378825113
82	0.2372215562
83	0.236442759
84	0.2355980994
85	0.2350829471
86	0.2345214209
87	0.2338081694
88	0.2333152496
89	0.232910132
90	0.2322149002
91	0.2315936491
92	0.2304718585
93	0.2293323036
94	0.2286458732
95	0.2283363284
96	0.2270527165
97	0.2257284903
98	0.2246336149
99	0.2243290809
100	0.2234178793
101	0.222759371
102	0.2215731652
103	0.2211128081
104	0.2201796942
105	0.2196176822
106	0.2189764406
107	0.2174691326
108	0.2171215464
109	0.2165679355
110	0.2155451867
111	0.2153295996
112	0.2143127487
113	0.2136034829
114	0.212853857
115	0.2126044354
116	0.2122124805
117	0.2112745245
118	0.2110660688
119	0.2102595449
120	0.2090794163
121	0.2080299269
122	0.2067626782
123	0.206011008
124	0.2049821577
125	0.2042325731
126	0.2033868577
127	0.2029689615
128	0.2023417096
129	0.2014222493
130	0.2006396249
131	0.2001310877
132	0.1989414295
133	0.1986905438
134	0.1983609631
135	0.1973679986
136	0.1971932234
137	0.1963105333
138	0.195329185
139	0.1950202284
140	0.1948676331
141	0.1937658384
142	0.1932731594
143	0.1927498939
144	0.1926257852
145	0.1922198217
146	0.1918921604
147	0.1915035747
148	0.1912546267
149	0.1905277535
150	0.1901761633
151	0.1900006737
152	0.1897673909
153	0.1896300165
154	0.1885023444
155	0.1877978508
156	0.1873649315
157	0.1869294666
158	0.1865527509
159	0.1863903006
160	0.1858144535
161	0.1855844439
162	0.1850990827
163	0.1846520961
164	0.1844973331
165	0.1839435802
166	0.1838537347
167	0.1835584233
168	0.1832236472
169	0.1828535165
170	0.182645488
171	0.1823782745
172	0.1822206914
173	0.18207831
174	0.1819024195
175	0.1817795028
176	0.1811857327
177	0.1810696534
178	0.1806203194
179	0.1805223714
180	0.1803061969
181	0.1798812063
182	0.1797869607
183	0.1794180319
184	0.1791350295
185	0.1789894012
186	0.1781220116
187	0.1778550516
188	0.1775989135
189	0.177418814
190	0.1768491605
191	0.1762524379
192	0.1755697151
193	0.1754908897
194	0.1751364562
195	0.1748576618
196	0.1747740766
197	0.1745176983
198	0.1741451322
199	0.1736448522
200	0.1733670479
201	0.1732422145
202	0.1731078398
203	0.1725238704
204	0.1722497282
205	0.1719776738
206	0.1714170682
