iter	Passed	Remaining
0	50	20113
1	111	22094
2	171	22660
3	243	24080
4	310	24522
5	371	24390
6	444	24981
7	508	24907
8	570	24784
9	668	26087
10	786	27806
11	888	28743
12	984	29313
13	1056	29123
14	1117	28685
15	1176	28233
16	1226	27639
17	1291	27403
18	1351	27108
19	1424	27070
20	1535	27707
21	1641	28202
22	1713	28086
23	1774	27802
24	1837	27558
25	1907	27444
26	1966	27165
27	2034	27033
28	2091	26762
29	2161	26655
30	2238	26641
31	2306	26527
32	2376	26429
33	2450	26383
34	2539	26479
35	2647	26772
36	2734	26825
37	2788	26564
38	2859	26472
39	2919	26276
40	2974	26047
41	3029	25827
42	3086	25627
43	3136	25375
44	3177	25070
45	3220	24786
46	3264	24516
47	3321	24358
48	3378	24198
49	3440	24085
50	3494	23910
51	3564	23853
52	3617	23687
53	3670	23519
54	3731	23405
55	3793	23305
56	3853	23187
57	3915	23086
58	3978	22992
59	4034	22862
60	4103	22803
61	4181	22794
62	4254	22758
63	4323	22699
64	4378	22563
65	4441	22478
66	4503	22383
67	4559	22259
68	4609	22111
69	4664	21988
70	4725	21897
71	4790	21823
72	4848	21717
73	4912	21640
74	4963	21507
75	5017	21391
76	5077	21297
77	5134	21197
78	5189	21086
79	5242	20971
80	5297	20861
81	5351	20752
82	5412	20672
83	5479	20613
84	5556	20592
85	5631	20563
86	5684	20452
87	5746	20374
88	5814	20317
89	5870	20221
90	5936	20156
91	6005	20104
92	6073	20049
93	6142	19995
94	6209	19935
95	6277	19878
96	6349	19835
97	6407	19746
98	6481	19707
99	6548	19646
100	6618	19592
101	6690	19545
102	6756	19482
103	6820	19411
104	6873	19310
105	6926	19210
106	6983	19122
107	7049	19060
108	7108	18977
109	7164	18887
110	7219	18795
111	7280	18721
112	7346	18660
113	7418	18610
114	7481	18540
115	7533	18443
116	7596	18373
117	7659	18305
118	7719	18228
119	7792	18181
120	7861	18126
121	7921	18051
122	7989	17993
123	8056	17933
124	8131	17888
125	8205	17844
126	8273	17783
127	8345	17733
128	8417	17683
129	8487	17628
130	8561	17581
131	8636	17534
132	8719	17504
133	8794	17457
134	8851	17376
135	8897	17272
136	8953	17188
137	9000	17088
138	9044	16982
139	9103	16906
140	9150	16809
141	9205	16725
142	9245	16616
143	9294	16523
144	9364	16469
145	9433	16412
146	9508	16364
147	9576	16305
148	9652	16259
149	9728	16213
150	9799	16159
151	9864	16095
152	9926	16025
153	9991	15960
154	10052	15889
155	10121	15830
156	10187	15767
157	10266	15725
158	10325	15651
159	10383	15574
160	10443	15503
161	10492	15414
162	10557	15350
163	10622	15285
164	10688	15222
165	10752	15157
166	10816	15091
167	10871	15013
168	10923	14931
169	10977	14851
170	11034	14776
171	11104	14719
172	11167	14653
173	11223	14577
174	11273	14494
175	11319	14406
176	11368	14323
177	11428	14253
178	11479	14173
179	11546	14112
180	11614	14052
181	11688	13999
182	11762	13948
183	11841	13900
184	11940	13877
185	12022	13832
186	12074	13753
187	12131	13680
188	12204	13624
189	12262	13553
190	12330	13492
191	12402	13436
192	12476	13381
193	12545	13321
194	12623	13271
195	12675	13193
196	12750	13138
197	12815	13074
198	12878	13008
199	12978	12978
200	13084	12954
201	13143	12883
202	13231	12840
203	13328	12806
204	13420	12765
205	13486	12701
206	13554	12638
207	13622	12574
208	13692	12513
209	13763	12453
210	13820	12379
211	13885	12313
212	13956	12252
213	14028	12193
214	14076	12112
215	14149	12053
216	14223	11994
217	14287	11927
218	14354	11863
219	14420	11798
220	14487	11734
221	14558	11673
222	14630	11612
223	14697	11547
224	14759	11479
225	14823	11412
226	14886	11344
227	14954	11281
228	15023	11218
229	15094	11157
230	15155	11087
231	15198	11005
232	15241	10924
233	15282	10841
234	15330	10763
235	15380	10687
236	15423	10608
237	15470	10530
238	15532	10463
239	15585	10390
240	15636	10316
241	15697	10249
242	15754	10179
243	15819	10114
244	15883	10048
245	15969	9996
246	16084	9963
247	16177	9915
248	16240	9848
249	16300	9780
250	16368	9717
251	16442	9656
252	16512	9594
253	16581	9530
254	16637	9460
255	16705	9397
256	16772	9332
257	16852	9275
258	16907	9204
259	16958	9131
260	17014	9061
261	17073	8993
262	17123	8919
263	17175	8848
264	17225	8775
265	17280	8705
266	17334	8634
267	17375	8558
268	17419	8482
269	17469	8411
270	17522	8340
271	17584	8275
272	17648	8210
273	17705	8142
274	17772	8078
275	17829	8010
276	17904	7950
277	17976	7889
278	18048	7827
279	18117	7764
280	18189	7703
281	18261	7641
282	18335	7580
283	18408	7518
284	18481	7457
285	18543	7391
286	18599	7323
287	18651	7253
288	18723	7191
289	18791	7127
290	18857	7063
291	18925	6999
292	18998	6937
293	19072	6876
294	19128	6808
295	19184	6740
296	19236	6671
297	19278	6598
298	19324	6527
299	19368	6456
300	19413	6385
301	19463	6315
302	19525	6250
303	19587	6185
304	19651	6121
305	19708	6054
306	19773	5990
307	19841	5926
308	19904	5861
309	19972	5798
310	20043	5735
311	20104	5670
312	20170	5606
313	20242	5544
314	20313	5481
315	20380	5417
316	20448	5353
317	20516	5290
318	20586	5227
319	20656	5164
320	20739	5104
321	20805	5039
322	20881	4977
323	20936	4910
324	21003	4846
325	21070	4782
326	21126	4716
327	21185	4650
328	21244	4584
329	21297	4517
330	21338	4448
331	21378	4378
332	21417	4309
333	21466	4241
334	21510	4173
335	21562	4107
336	21615	4040
337	21663	3973
338	21729	3910
339	21797	3846
340	21865	3783
341	21945	3721
342	22011	3657
343	22072	3593
344	22140	3529
345	22202	3465
346	22257	3399
347	22312	3334
348	22368	3268
349	22432	3204
350	22501	3141
351	22574	3078
352	22647	3015
353	22733	2954
354	22807	2891
355	22883	2828
356	22945	2763
357	22999	2698
358	23060	2633
359	23115	2568
360	23173	2503
361	23222	2437
362	23270	2371
363	23318	2306
364	23361	2240
365	23405	2174
366	23448	2108
367	23496	2043
368	23541	1977
369	23595	1913
370	23666	1849
371	23722	1785
372	23785	1721
373	23848	1657
374	23906	1593
375	23953	1528
376	24014	1465
377	24081	1401
378	24154	1338
379	24221	1274
380	24294	1211
381	24363	1148
382	24432	1084
383	24505	1021
384	24583	957
385	24658	894
386	24731	830
387	24788	766
388	24839	702
389	24909	638
390	24968	574
