Shipment ID,ship_method,vendor_name,date,fc_code,from_postal_code,from_state,from_city,from_latitude,from_longitude,to_postal_code,to_state,to_city,to_latitude,to_longitude,total_vendor_price,weight,volume,cost,$/lb,haversine_distance,manhattan_distance,log_cost,log_weight,log_Hdis,log_Mdis,log_volume,log_TVP,log_TVP/log_weight,across_state,ship_method_type,real_distance,log_distance
FBA17PXP1S3T,AMAZON_FREIGHT,Lenox,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,25320.81,641.67,208133.2098,50.36,0.078482709,98.20596786567644,138.25901863927243,3.9388596593817056,6.465631373210922,4.597198172417545,4.93633564252183,12.245938390029076,10.139421358695284,1.5682028209504786,False,FTL,109.618,4.706082824489872
FBA17QXHTZRN,AMAZON_FREIGHT,Amscan,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,4633.73,892.72,103065.5555,70.11,0.078535263,98.20596786567644,138.25901863927243,4.2642279738954265,6.795392527011286,4.597198172417545,4.93633564252183,11.543130228436803,8.441333223876033,1.242214219461529,False,FTL,109.618,4.706082824489872
FBA17Q4H1JWL,AMAZON_FREIGHT,Fun Express,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,5078.78,699.1,145274.7008,54.87,0.078486626,98.20596786567644,138.25901863927243,4.023027563471057,6.551223181983152,4.597198172417545,4.93633564252183,11.88638860088624,8.533023232548134,1.302508401181512,False,FTL,109.618,4.706082824489872
FBA17QJ02VGR,AMAZON_FREIGHT,Lenox,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,13068.55,319.06,26689.13,25.04,0.078480537,98.20596786567644,138.25901863927243,3.2596338173403683,5.768508478217845,4.597198172417545,4.93633564252183,10.192049113124812,9.478040376033192,1.6430660389635747,False,FTL,109.618,4.706082824489872
FBA17QHZ4KJ9,AMAZON_FREIGHT,Lenox,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,4975.5,85.08,13611.45,6.67,0.078396803,98.20596786567644,138.25901863927243,2.0373166153791646,4.455277096413474,4.597198172417545,4.93633564252183,9.518740094139888,8.512482111686118,1.9106515548805527,False,FTL,109.618,4.706082824489872
FBA17QL2Z5QS,AMAZON_FREIGHT,Journals Unlimited,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,2838.0,194.27,7078.02,15.24,0.078447521,98.20596786567644,138.25901863927243,2.787477334733532,5.274383216252406,4.597198172417545,4.93633564252183,8.864890759028002,7.951207156472972,1.5075141169060755,False,FTL,109.618,4.706082824489872
FBA17QL2Z5NV,AMAZON_FREIGHT,Journals Unlimited,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,225.0,35.45,187.03,2.78,0.07842031,98.20596786567644,138.25901863927243,1.3297240096314962,3.5959414584546674,4.597198172417545,4.93633564252183,5.236601524567384,5.420534999272286,1.5074035720263717,False,FTL,109.618,4.706082824489872
FBA17QS7JYJY,AMAZON_FREIGHT,Penguin Random House,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,4995.36,173.71,19817.51578,13.63,0.078464107,98.20596786567644,138.25901863927243,2.683074215032033,5.163127456486353,4.597198172417545,4.93633564252183,9.894371920115278,8.516464926295559,1.6494779565428823,False,FTL,109.618,4.706082824489872
FBA17QXHTZQC,AMAZON_FREIGHT,Amscan,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,3368.95,718.25,102021.5864,56.37,0.078482423,98.20596786567644,138.25901863927243,4.04952151861378,6.578209002431658,4.597198172417545,4.93633564252183,11.53294950304735,8.122653186441088,1.2347818659210312,False,FTL,109.618,4.706082824489872
FBA17PXRL1QB,AMAZON_FREIGHT,Lenox,2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,6588.75,166.62,67196.71453,13.07,0.078441964,98.20596786567644,138.25901863927243,2.644044871126298,5.1216995126707605,4.597198172417545,4.93633564252183,11.11539451596265,8.793270690509884,1.7168657920590398,False,FTL,109.618,4.706082824489872
FBA17QP2F3G8,AMAZON_FREIGHT,Spinrite Yarns (CA),2024-03-27,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,2463.78,414.07,86106.93184,32.5,0.078489144,98.20596786567644,138.25901863927243,3.5115454388310208,6.028447180705516,4.597198172417545,4.93633564252183,11.36335680974994,7.809857833000917,1.2955007481855254,False,FTL,109.618,4.706082824489872
FBA17W72DP59,AMAZON_FREIGHT,Swimline,2024-06-08,ABE8,8322,NJ,Franklinville,39.6156,-75.0409,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,14978.3,2614.99,225101.62,171.94,0.065751685,58.62461991545462,75.32658491965695,5.152944713532285,7.869397889939814,4.088068574604617,4.33502130381192,12.324311666098522,9.614424527007415,1.2217484312616131,False,FTL,84.362,4.446901036897085
FBA17W72DP4N,AMAZON_FREIGHT,Swimline,2024-06-08,ABE8,8322,NJ,Franklinville,39.6156,-75.0409,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,45125.37,4522.01,615165.77,297.33,0.065751734,58.62461991545462,75.32658491965695,5.698200256359968,8.416932980397354,4.088068574604617,4.33502130381192,13.329648680760224,10.717222055285127,1.273293024934978,False,FTL,84.362,4.446901036897085
FBA181NPW7QS,AMAZON_FREIGHT,Eagle Crest,2024-06-29,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,3843.0,371.41,83059.29,52.2,0.140545489,199.55046276096115,237.63931761646444,3.974058396347599,5.919995397888783,5.301065899672692,5.474953280734019,11.327322008630611,8.254268770090183,1.394303241018373,False,FTL,271.65,5.60818892137207
FBA181NKGCRJ,AMAZON_FREIGHT,Eagle Crest,2024-06-29,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,570.6,53.69,13602.44,7.54,0.140435835,199.55046276096115,237.63931761646444,2.1447610078004784,4.001680877358681,5.301065899672692,5.474953280734019,9.518077980916388,6.348439446055712,1.5864432073968913,False,FTL,271.65,5.60818892137207
FBA182G6SM8M,AMAZON_FREIGHT,Amscan,2024-06-29,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,690.38,149.16,26097.61949,20.96,0.140520247,199.55046276096115,237.63931761646444,3.08922261664133,5.011701392278253,5.301065899672692,5.474953280734019,10.169637698808447,6.538689600253978,1.3046845948021608,False,FTL,271.65,5.60818892137207
FBA1812YL3MZ,AMAZON_FREIGHT,Eurographics,2024-06-29,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,9456.0,702.55,310706.0075,98.75,0.140559391,199.55046276096115,237.63931761646444,4.602667055769973,6.556138947234265,5.301065899672692,5.474953280734019,12.646605649037328,9.154510487015513,1.396326490438001,False,FTL,271.65,5.60818892137207
FBA1832KDWKS,AMAZON_FREIGHT,Chartpak,2024-06-29,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,2012.65,205.84,2940.827275,28.93,0.140546055,199.55046276096115,237.63931761646444,3.3988613218646075,5.33194554752802,5.301065899672692,5.474953280734019,7.986786189376697,7.60770427466101,1.4268158230138095,False,FTL,271.65,5.60818892137207
FBA182G6SM7Z,AMAZON_FREIGHT,Amscan,2024-06-29,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,1617.68,390.8,64644.66379,54.93,0.14055783,199.55046276096115,237.63931761646444,4.024100908833496,5.9707515055104405,5.301065899672692,5.474953280734019,11.076676309870138,7.389366281269589,1.2375940071278968,False,FTL,271.65,5.60818892137207
