Shipment ID,ship_method,vendor_name,date,fc_code,from_postal_code,from_state,from_city,from_latitude,from_longitude,to_postal_code,to_state,to_city,to_latitude,to_longitude,total_vendor_price,weight,volume,cost,$/lb,haversine_distance,manhattan_distance,log_cost,log_weight,log_Hdis,log_Mdis,log_volume,log_TVP,log_TVP/log_weight,across_state,ship_method_type,real_distance,log_distance
FBA17QWRWMNT,AMAZON_LTL,Creative Brands,2024-03-01,IND9,37091,TN,Lewisburg,35.4596,-86.7812,46143-7830,IN,Greenwood,39.594456576903454,-86.06411799126037,8996.39,1344.0,180037.846,129.35,0.09624256,464.09811450545874,523.0108965723424,4.870223140379511,7.20414929203594,6.142248382266682,6.261512479090216,12.100927917699591,9.104689814260224,1.263811929095542,True,LTL,528.537,6.272003039842843
FBA17RGS594G,AMAZON_LTL,New Ray Toys,2024-03-01,LAS6,91710,CA,Chino,34.0125,-117.6844,89115-1826,NV,Las Vegas,36.26695005,-115.07429473479854,6675.7,957.0,218892.5051,162.47,0.169770115,345.1801688987036,488.01961644346886,5.096629487263117,6.86484777797086,5.846959358890859,6.1924026040965865,12.296340612444917,8.806379132490525,1.2828222004790837,True,LTL,404.08,6.004084578464084
FBA17RFMV9VK,AMAZON_LTL,New Ray Toys,2024-03-01,LAX9,91710,CA,Chino,34.0125,-117.6844,92337-7441,CA,Fontana,34.05123304999999,-117.44628955771358,11104.2,1064.0,227322.5797,182.4,0.171428571,22.36061482397071,26.248837609404863,5.211669559822364,6.970730078143525,3.151051477132968,3.305010863663836,12.334129742691609,9.3151687460718,1.3363261296372928,False,LTL,28.312,3.37799698849172
FBA17RDYSBSP,AMAZON_LTL,Breyer Horses,2024-03-01,TEB9,7006,NJ,Caldwell,40.8545,-74.2789,8873,NJ,Somerset,42.40610715317342,-71.14548263783863,6663.5,594.0,150356.5812,122.95,0.206986532,312.3570242215558,432.95635561041627,4.819878258481199,6.38856140554563,5.747343192955438,6.072943965933956,11.920771610823529,8.804550211044074,1.3781741541063108,False,LTL,368.722,5.912751371881026
FBA17QVNS6XK,AMAZON_LTL,Lipper International,2024-03-01,TEB9,6492,CT,Wallingford,41.46,-72.8222,8873,NJ,Somerset,42.40610715317342,-71.14548263783863,3353.0,753.0,81631.94624,245.75,0.326361222,174.07742328717933,243.90174074258388,5.508375678313591,6.625392368007956,5.1652282948690615,5.500857071905845,11.30998821240709,8.117908942383155,1.2252721788345873,True,LTL,201.61,5.31128294893806
FBA17QWLXRK8,AMAZON_LTL,Creative Brands,2024-03-01,LIT2,37091,TN,Lewisburg,35.4596,-86.7812,72117-5026,AR,North Little Rock,30.0112367,-91.1891468,2545.47,370.0,76609.30838,118.7,0.320810811,732.6024580246924,1018.125798114978,4.784988612563928,5.916202062607435,6.597967271570083,6.926700478120242,11.24648692082583,7.842463365379553,1.3255908575109012,True,LTL,899.122,6.802530309693042
FBA17QSYL046,AMAZON_LTL,Foreside,2024-03-01,ABE8,23608,VA,Newport News,37.1526,-76.542,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,3723.5,456.0,71625.27209,129.56,0.284122807,361.88348553404353,479.9504218332192,4.871832891215797,6.124683390894205,5.894081806250633,6.175764191681552,11.179217214278175,8.222687893616332,1.3425490541831613,True,LTL,531.933,6.278395712699761
FBA17N8FC7VX,AMAZON_LTL,Swimline,2024-03-01,AVP9,8322,NJ,Franklinville,39.6156,-75.0409,18434-1153,PA,Jessup,41.7353048,-72.7858788,3228.73,495.0,51300.2,174.12,0.351757576,302.8267231712301,425.87030406039537,5.165471453214607,6.206575926724928,5.716457549332092,6.056480229527551,10.845469422698145,8.080153821391482,1.30186980982527,True,LTL,368.385,5.911839460551939
FBA17R677G7M,AMAZON_LTL,BAZIC,2024-03-01,LAX9,91731,CA,El Monte,34.0791,-118.0371,92337-7441,CA,Fontana,34.05123304999999,-117.44628955771358,2050.96,812.0,100171.1388,120.85,0.148830049,54.50997537224654,57.52057147809057,4.802790780071216,6.70073110954781,4.016562741038605,4.069378341621852,11.514645373079972,7.626550712923278,1.138166953462179,False,LTL,58.978,4.093977828316775
FBA17QJKPPCH,AMAZON_LTL,FMC Fuji Merchandise,2024-03-01,LAS1,91710,CA,Chino,34.0125,-117.6844,89044-8746,NV,Henderson,35.9651878,-115.15194140025712,4238.0,346.0,88417.09636,129.86,0.375317919,316.7850298099388,447.8308095667742,4.874128049441593,5.849324779946859,5.761375147297509,6.10664600061959,11.389831937630262,8.352082671352637,1.427871247632879,True,LTL,370.696,5.918076315878609
