Shipment ID,ship_method,vendor_name,date,fc_code,from_postal_code,from_state,from_city,from_latitude,from_longitude,to_postal_code,to_state,to_city,to_latitude,to_longitude,total_vendor_price,weight,volume,cost,$/lb,haversine_distance,manhattan_distance,log_cost,log_weight,log_Hdis,log_Mdis,log_volume,log_TVP,log_TVP/log_weight,across_state,ship_method_type,real_distance,log_distance
FBA17QVB7JWH,AMAZON_UPS_PARCEL,Lifegard Aquatics,2024-03-01,LAS1,90670,CA,Santa Fe Springs,33.9464,-118.0838,89044-8746,NV,Henderson,35.9651878,-115.15194140025712,2982.05,129.0,19586.29521,43.82,0.339689922,348.94152346274706,491.6731101798588,3.802654468372781,4.867534450455582,5.857766064704017,6.199845891604021,9.882636431472417,8.00070154602362,1.643686681102953,True,PARCEL,405.75,6.008198746099147
FBA17QNV25VQ,AMAZON_UPS_PARCEL,Maxxsonics,2024-03-01,CLT2,27537,NC,Henderson,36.36,-78.3906,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,1600.0,61.0,4605.95768,24.91,0.408360656,265.91105371987413,359.3831231268594,3.2546289945740186,4.127134385045092,5.586915470764111,5.887167696465844,8.435322978872453,7.378383712996715,1.7877740399568067,False,PARCEL,306.668,5.729021279519826
FBA17Q1K7F5X,AMAZON_UPS_PARCEL,FiiO,2024-03-01,ABE8,20151-4265,VA,Chantilly,38.8867,-77.4457,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,10751.0,152.0,11531.01815,51.39,0.338092105,264.44140884926486,362.8226517062472,3.958715733420128,5.030437921392435,5.581394134027751,5.89666652831899,9.352882632638428,9.282847062762931,1.84533577549714,True,PARCEL,309.98,5.73972860142967
FBA17QNSTY1Q,AMAZON_UPS_PARCEL,FiiO,2024-03-01,ORF2,20151-4265,VA,Chantilly,38.8867,-77.4457,23321-1425,VA,Chesapeake,36.81658384974136,-76.45359838146298,16626.0,162.0,12607.97814,60.06,0.370740741,246.11155662424648,317.2927033780812,4.111856987306732,5.093750200806762,5.509839880918518,5.762971410299505,9.442164389989433,9.71878315904038,1.90798189465614,False,PARCEL,311.062,5.743201886016404
FBA17QQDWDD6,AMAZON_UPS_PARCEL,FiiO,2024-03-01,ORF2,20151-4265,VA,Chantilly,38.8867,-77.4457,23321-1425,VA,Chesapeake,36.81658384974136,-76.45359838146298,25350.62,85.0,20612.75016,39.92,0.469647059,246.11155662424648,317.2927033780812,3.711618941083426,4.454347296253507,5.509839880918518,5.762971410299505,9.93371361560479,10.140597912302916,2.276562027579672,False,PARCEL,311.062,5.743201886016404
FBA17RKZ5RHN,AMAZON_UPS_PARCEL,Osiamo,2024-03-01,TEB9,11436,NY,Jamaica,40.6763,-73.7966,8873,NJ,Somerset,42.40610715317342,-71.14548263783863,3811.25,47.0,3021.560924,18.82,0.400425532,292.6854403314187,412.9905066533772,2.986691528901842,3.871201010907891,5.682509263708564,6.025843042773456,8.013859739109623,8.245974844995121,2.130081807108549,True,PARCEL,340.946,5.834652829859077
FBA17Q1C924G,AMAZON_UPS_PARCEL,Iron Studios,2024-03-01,ONT8,90058,CA,Los Angeles,33.9994,-118.2133,92551-9534,CA,Moreno Valley,33.86829195,-117.23712192190835,989.92,32.0,6688.072848,15.72,0.49125,91.23073925069768,104.63732608495144,2.816605607656556,3.49650756146648,4.524293472510937,4.660011775531074,8.808230555775205,6.898633804532576,1.973006974319026,False,PARCEL,109.578,4.705721154292979
FBA17RCQH18R,AMAZON_UPS_PARCEL,Zagone Studios,2024-03-01,MDW2,60160,IL,Melrose Park,41.9003,-87.8581,60433-3280,IL,Joliet,42.02726945497193,-88.19960713506498,2196.0,50.0,40351.29024,30.21,0.6042,31.56905312730841,42.35449248547422,3.440738556282688,3.9318256327243257,3.483362546937649,3.769410330739946,10.605403431442982,7.69484807238461,1.957067477342051,False,PARCEL,36.453,3.623086813563928
FBA17Q1CB0WD,AMAZON_UPS_PARCEL,Iron Studios,2024-03-01,ONT8,90058,CA,Los Angeles,33.9994,-118.2133,92551-9534,CA,Moreno Valley,33.86829195,-117.23712192190835,2150.66,83.0,18380.5179,41.89,0.504698795,91.23073925069768,104.63732608495144,3.758638698528789,4.430816798843313,4.524293472510937,4.660011775531074,9.819100976830574,7.673994916234479,1.7319594252323438,False,PARCEL,109.578,4.705721154292979
FBA17QQFT34S,AMAZON_UPS_PARCEL,Birchwood,2024-03-01,GSO1,29201,SC,Columbia,34.0004,-81.0334,27284-6855,NC,Kernersville,36.10957785714286,-80.02542199999999,1050.0,7.0,14263.42,5.37,0.767142857,251.8332569540336,326.2803675763145,1.851599469584072,2.079441541679836,5.532730208026958,5.790817196745404,9.565523603865516,6.957497370876951,3.34584898465406,True,PARCEL,291.465,5.678345001392649
FBA17QKJF7V2,AMAZON_UPS_PARCEL,Hydratherma Naturals,2024-03-01,CLT2,30093,GA,Norcross,33.906,-84.184,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,1308.66,73.0,3577.668618,33.29,0.456027397,327.3878366849901,440.3392078044381,3.534853766474829,4.30406509320417,5.794195338783302,6.089813758475389,8.182746115811462,7.177522840523615,1.6676148443610763,True,PARCEL,348.57,5.85670382774231
FBA17QXP8S73,AMAZON_UPS_PARCEL,Papersalt,2024-03-01,SCK4,98134,WA,Seattle,47.5903,-122.3263,95215-8354,CA,Stockton,46.760600791822135,-118.30537108125802,468.0,28.0,765.81,12.67,0.4525,317.5742499760248,396.1817698581568,2.6152036507358583,3.367295829986474,5.763855571786617,5.9843940344867095,6.642239052296678,6.150602768446279,1.826570363575981,True,PARCEL,353.225,5.86993230445029
FBA17QNRG40N,AMAZON_UPS_PARCEL,Milk Reclamation Barn Candles,2024-03-01,ORF2,21093,MD,Lutherville Timonium,39.4332,-76.6546,23321-1425,VA,Chesapeake,36.81658384974136,-76.45359838146298,909.9,128.0,6952.243808,38.27,0.298984375,291.4849402312092,308.5367290085509,3.6704608685899194,4.859812404361672,5.678413178957413,5.735076757163001,8.846963564635983,6.814433121750764,1.4022008577192864,True,PARCEL,398.275,5.989650402542373
FBA17PMZBWTC,AMAZON_UPS_PARCEL,Ukidz,2024-03-01,MDW2,60060,IL,Mundelein,42.2636,-88.0048,60433-3280,IL,Joliet,42.02726945497193,-88.19960713506498,860.0,100.6,9022.048812,26.24,0.26083499,30.798087674903663,42.33959441795533,3.3046864812813115,4.6210435351443815,3.45940615196857,3.769066637918494,9.107537561710556,6.7580945044277305,1.4624606872950785,False,PARCEL,46.582,3.862454538459652
FBA17QVF7B87,AMAZON_UPS_PARCEL,Jenko Fishing,2024-03-01,CLT2,38340,TN,Henderson,35.4269,-88.6398,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,433.9,3.0,594.254188,4.84,1.613333333,693.388020192442,713.7922581115591,1.7647307968401356,1.3862943611198906,6.543030911170309,6.57199195238101,6.388988521041508,6.075116119603592,4.382269949288353,True,PARCEL,876.565,6.777151026670746
FBA17Q1RRHZY,AMAZON_UPS_PARCEL,CWI,2024-03-01,DET1,43125,OH,Groveport,39.8581,-82.8872,48150-1043,MI,Livonia,42.37434320175948,-83.42885569671779,1753.85,86.0,34781.63053,26.62,0.309534884,283.44704336596413,325.1689117081658,3.318540147981146,4.465908118654584,5.650547096929116,5.787415381255725,10.456873418458215,7.47013866216172,1.6727031689161134,True,PARCEL,345.199,5.847013754234182
FBA17QXQ6SJT,AMAZON_UPS_PARCEL,Travelon,2024-03-01,SDF8,60131,IL,Franklin Park,41.9339,-87.8734,47130-7761,IN,Jeffersonville,38.3787641,-85.68678860970081,621.0,18.0,7516.608198,7.38,0.41,436.7703611627109,581.1420683935442,2.1258479144939915,2.9444389791664403,6.081694483305753,6.366714521711937,8.925003307575869,6.432940092739179,2.1847761622013038,True,PARCEL,493.708,6.203967689519928
FBA17QNRPSBF,AMAZON_UPS_PARCEL,Cristel,2024-03-01,CLT2,30046,GA,Lawrenceville,33.9496,-83.9942,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,2466.7,73.0,9752.480664,26.82,0.36739726,309.6630108405526,418.04160055731177,3.325755186495297,4.30406509320417,5.7387087582676175,6.037970200333321,9.18537949146519,7.811041821721038,1.814805690103096,True,PARCEL,334.466,5.815520609994692
FBA17RBCWWSC,AMAZON_UPS_PARCEL,Fusion Climb,2024-03-01,VGT2,91710,CA,Chino,34.0125,-117.6844,89115-2013,NV,Las Vegas,36.2562788,-115.032104099113,3112.68,117.0,7400.026152,52.4,0.447863248,346.9849918381115,490.68521804988734,3.977810745966149,4.770684624465665,5.852159351942504,6.19783871102088,8.909373938767768,8.043560585392337,1.686039052789671,True,PARCEL,408.574,6.015117595148076
