Shipment ID,ship_method,vendor_name,date,fc_code,from_postal_code,from_state,from_city,from_latitude,from_longitude,to_postal_code,to_state,to_city,to_latitude,to_longitude,total_vendor_price,weight,volume,cost,$/lb,haversine_distance,manhattan_distance,log_cost,log_weight,log_Hdis,log_Mdis,log_volume,log_TVP,log_TVP/log_weight,across_state,ship_method_type,real_distance,log_distance
FBA17QHZ4KJ9,ESTES,Lenox,2024-03-08,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,4975.5,279.89,44777.97,107.15,0.382828969,98.20596786567644,138.25901863927243,4.683519152399068,5.637963133618907,4.597198172417545,4.93633564252183,10.709493888548328,8.512482111686118,1.5098506162494378,False,LTL,109.618,4.706082824489872
FBA17QHYG2Q9,ESTES,Lenox,2024-03-08,TEB3,7094,NJ,Secaucus,40.791,-74.0634,08085-4503,NJ,Logan Township,39.708322395416346,-75.31767798495581,9517.0,268.22,48918.31,102.68,0.382820073,160.6962121428934,226.83632502271115,4.641309232603964,5.595528889215947,5.085719341094669,5.428627498453039,10.797927485040969,9.160940021681055,1.6371892993594568,False,LTL,170.654,5.145480822865508
FBA17QJ02VGR,ESTES,Lenox,2024-03-08,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,13068.55,1049.61,87799.1,401.84,0.382846962,98.20596786567644,138.25901863927243,5.998539460779944,6.957126226845016,4.597198172417545,4.93633564252183,11.382817918574723,9.478040376033192,1.362349922509798,False,LTL,109.618,4.706082824489872
FBA17PXPDJQR,ESTES,Lenox,2024-03-08,TEB9,7094,NJ,Secaucus,40.791,-74.0634,8873,NJ,Somerset,42.40610715317342,-71.14548263783863,1687.5,114.28,9243.136404,43.75,0.382831642,301.83741303860955,422.2259384779983,3.801091444720865,4.747363951691266,5.713196070861444,6.047906169965472,9.131744727235208,7.431595839825622,1.565415231578798,False,LTL,351.537,5.865155581282939
FBA17RFFK584,ESTES,Lenox,2024-03-19,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,18458.35,1400.47,164813.1723,485.0,0.346312309,98.20596786567644,138.25901863927243,6.186208623900494,7.245276964738921,4.597198172417545,4.93633564252183,12.012573889726,9.823326296169306,1.3558248144242313,False,LTL,109.618,4.706082824489872
FBA17RFFK5B2,ESTES,Lenox,2024-03-19,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,4503.0,294.53,62513.10822,102.0,0.346314467,98.20596786567644,138.25901863927243,4.634728988229636,5.688770354535698,4.597198172417545,4.93633564252183,11.043147541770969,8.412721169819527,1.4788294561955737,False,LTL,109.618,4.706082824489872
FBA17VH5496X,ESTES,Lenox,2024-04-05,AVP1,7094,NJ,Secaucus,40.791,-74.0634,18202-9361,PA,Hazle Township,40.92357411523179,-76.05055126251797,7842.0,360.67,97245.31722,60.65,0.168159259,167.76726143507102,181.8636164658217,4.121473229610353,5.89073219385384,5.128520614506981,5.208740609779157,11.48500239156055,8.967376693212666,1.522285583202862,True,LTL,211.432,5.358621937153546
FBA17VGYMBSC,ESTES,Lenox,2024-04-05,TEB4,7094,NJ,Secaucus,40.791,-74.0634,08069-2957,NJ,Penns Grove,39.68846844794761,-75.43948142759169,4981.0,126.52,19274.39,21.26,0.168036674,169.32501995543106,239.39832564131612,3.102791345847399,4.848273215041905,5.13770849382063,5.4822972377504255,9.866584431689873,8.513586695822125,1.7560039045259417,False,LTL,186.928,5.236058910751464
FBA17TC41PT6,ESTES,Lenox,2024-04-05,CLT2,7094,NJ,Secaucus,40.791,-74.0634,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,2742.5,151.82,792.38,25.51,0.168027928,865.2599840227567,1224.432704505261,3.277522020300934,5.02926075821942,6.76418507600509,7.111049288776005,6.676302299796786,7.91698975649903,1.57418557857835,True,LTL,1016.53,6.925133400911589
FBA17TC5X7NK,ESTES,Lenox,2024-04-05,CLT2,7094,NJ,Secaucus,40.791,-74.0634,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,32324.25,2823.55,380944.4275,474.46,0.168036691,865.2599840227567,1224.432704505261,6.164282756470127,7.946104338856819,6.76418507600509,7.111049288776005,12.850411408941602,10.3836039375622,1.3067540388043857,True,LTL,1016.53,6.925133400911589
FBA17VGQXG9N,ESTES,Lenox,2024-04-05,ORF2,7094,NJ,Secaucus,40.791,-74.0634,23321-1425,VA,Chesapeake,36.81658384974136,-76.45359838146298,6548.0,246.71,4909.11,41.45,0.168011025,488.0082528047787,649.0547240854837,3.748326912757357,5.512258707097447,6.192379366233847,6.477056550246572,8.499051623796273,8.787067645218054,1.59409565336693,True,LTL,600.987,6.400235850391267
FBA17VH12ZL1,ESTES,Lenox,2024-04-05,TPA3,7094,NJ,Secaucus,40.791,-74.0634,33823-9429,FL,Auburndale,28.150339760416667,-81.81942488541667,2435.0,44.28,7832.25,7.44,0.16802168,1573.5180450193343,2116.5789127827225,2.1329823086078656,3.812865433894927,7.361704501268885,7.658028692789416,8.966132773109681,7.798112628829788,2.0452105546415367,True,LTL,1788.828,7.489874804832445
FBA17VGQXGB9,ESTES,Lenox,2024-04-05,ORF2,8873,NJ,Somerset,40.5007,-74.5013,23321-1425,VA,Chesapeake,36.81658384974136,-76.45359838146298,19327.0,1033.26,137419.4335,173.62,0.16803128,443.3098872579857,579.1732184369101,5.162612184382661,6.941441474136934,6.096522263257132,6.363326711430123,11.830800363142746,9.86931010073454,1.421795478288844,True,LTL,563.166,6.335348534433723
FBA17TC5X7QH,ESTES,Lenox,2024-04-05,CLT2,7094,NJ,Secaucus,40.791,-74.0634,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,6897.0,687.43,101651.767,115.51,0.168031654,865.2599840227567,1224.432704505261,4.757977106231849,6.5344136427021855,6.76418507600509,7.111049288776005,11.52931803954189,8.838986793496787,1.3526824711148202,True,LTL,1016.53,6.925133400911589
FBA17VGW3XB5,ESTES,Lenox,2024-04-05,AVP1,7094,NJ,Secaucus,40.791,-74.0634,18202-9361,PA,Hazle Township,40.92357411523179,-76.05055126251797,1899.0,215.08,28984.66374,36.14,0.1680305,167.76726143507102,181.8636164658217,3.61469455592456,5.37564870948436,5.128520614506981,5.208740609779157,10.274556632942383,7.549609165154532,1.4044089510228992,True,LTL,211.432,5.358621937153546
FBA17VGY6FZT,ESTES,Lenox,2024-04-05,ABE8,7094,NJ,Secaucus,40.791,-74.0634,08518-2200,NJ,Florence,40.110056150000005,-74.80252506814196,2852.0,293.1,5803.96,49.25,0.168031389,98.20596786567644,138.25901863927243,3.917010546939185,5.68391984555995,4.597198172417545,4.93633564252183,8.66646800349671,7.9561263512135,1.3997604764656395,False,LTL,109.618,4.706082824489872
FBA17VGW3X87,ESTES,Lenox,2024-04-05,AVP1,7094,NJ,Secaucus,40.791,-74.0634,18202-9361,PA,Hazle Township,40.92357411523179,-76.05055126251797,16503.5,1353.78,53210.83,227.48,0.168033211,167.76726143507102,181.8636164658217,5.431448679151219,7.21139435850811,5.128520614506981,5.208740609779157,10.882036019030595,9.711388349978076,1.3466727607983937,True,LTL,211.432,5.358621937153546
FBA17VH54968,ESTES,Lenox,2024-04-05,AVP1,7094,NJ,Secaucus,40.791,-74.0634,18202-9361,PA,Hazle Township,40.92357411523179,-76.05055126251797,22939.0,1514.05,161866.4793,254.41,0.16803276,167.76726143507102,181.8636164658217,5.542870097099746,7.323203720699203,5.128520614506981,5.208740609779157,11.994533250433864,10.04063739068336,1.3710717021709051,True,LTL,211.432,5.358621937153546
FBA17TJGYTHM,ESTES,Lenox,2024-04-05,MDT4,7094,NJ,Secaucus,40.791,-74.0634,17408,PA,York,39.933670566312216,-76.83983972495825,3227.0,82.23,64807.5191,13.81,0.167943573,253.80528542423207,330.5688518038222,2.6953026282797072,4.421607859758004,5.5404996669060695,5.803835485808812,11.079192341291852,8.07961802938984,1.8273031633863703,True,LTL,306.568,5.7286962010105045
