Shipment ID,ship_method,vendor_name,date,fc_code,from_postal_code,from_state,from_city,from_latitude,from_longitude,to_postal_code,to_state,to_city,to_latitude,to_longitude,total_vendor_price,weight,volume,cost,$/lb,haversine_distance,manhattan_distance,log_cost,log_weight,log_Hdis,log_Mdis,log_volume,log_TVP,log_TVP/log_weight,across_state,ship_method_type,real_distance,log_distance
FBA1871X6P7Q,UBER_LTL,CTW,2024-09-07,DEN8,27409,NC,Greensboro,36.0777,-79.9086,80018,CO,Aurora,39.73788442373626,-104.73514700063303,1972.0,103.96,93116.12117,101.43,0.975663717,2208.3805678021213,2585.0978264060022,4.629179638448443,4.653579325195778,7.70046746916193,7.857905387852955,11.44161334721676,7.587310506022615,1.6304246636439177,True,LTL,2524.657,7.834256505883628
FBA1871X6P72,UBER_LTL,CTW,2024-09-07,DEN8,27409,NC,Greensboro,36.0777,-79.9086,80018,CO,Aurora,39.73788442373626,-104.73514700063303,13789.6,1474.04,696260.0799,1438.17,0.975665518,2208.3805678021213,2585.0978264060022,7.271821837505224,7.296440387050284,7.70046746916193,7.857905387852955,13.45347998377744,9.531742479630529,1.3063551504576745,True,LTL,2524.657,7.834256505883628
FBA18C4S5NT3,UBER_LTL,Tassos,2024-09-14,BNA6,60007,IL,Elk Grove Village,42.0076,-87.9931,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,1192.24,236.84,13922.34761,23.58,0.099560885,603.4971445335822,663.8179860396016,3.201933104137889,5.471598178689843,6.404396946360618,6.499513297988142,9.54132239419965,7.084427575377393,1.2947638594824111,True,LTL,774.613,6.653653684445152
FBA1860GJB97,UBER_LTL,Fun Express,2024-09-14,LAN2,78626,TX,Georgetown,30.633,-97.6707,48917,MI,Lansing,42.71216059719439,-84.64336459519038,1264.63,122.89,32020.17103,60.47,0.492066075,1771.5746905231713,2504.986573507432,4.118549250918918,4.819394075127647,7.480188396036489,7.826437777703206,10.37415255771208,7.143325300904384,1.4822040259729508,True,LTL,2115.384,7.65746425099384
FBA188MDJHQZ,UBER_LTL,C SEVEN,2024-09-14,PSC2,91761,CA,Ontario,34.0316,-117.6187,99301,WA,Pasco,46.2203792,-119.04172352449224,13720.0,2877.0,190558.8,861.58,0.299471672,1360.656212478212,1476.3199698127985,6.759927898227352,7.964850887447313,7.216457041101941,7.297984894013764,12.157721335050374,9.526682784921174,1.196090538234096,True,LTL,1726.251,7.454286406323723
FBA1860H2B0M,UBER_LTL,Fun Express,2024-09-14,LAN2,78626,TX,Georgetown,30.633,-97.6707,48917,MI,Lansing,42.71216059719439,-84.64336459519038,348.74,25.8,7373.010973,12.69,0.491860465,1771.5746905231713,2504.986573507432,2.6166656393003573,3.288401887516811,7.480188396036489,7.826437777703206,8.905717066859161,5.857190021285513,1.7811661170491802,True,LTL,2115.384,7.65746425099384
FBA188ZRJN50,UBER_LTL,Tassos,2024-09-14,LAN2,60007,IL,Elk Grove Village,42.0076,-87.9931,48917,MI,Lansing,42.71216059719439,-84.64336459519038,1897.68,665.16,58445.19377,66.19,0.099509892,286.14093244657147,353.5744701570097,4.207524426932059,6.501529881927564,5.659973149052956,5.870918394875133,10.975861845361546,7.548914186870955,1.1610981298193872,True,LTL,387.324,5.961840042708098
FBA186C74WQT,UBER_LTL,Fun Express,2024-09-14,LAN2,78626,TX,Georgetown,30.633,-97.6707,48917,MI,Lansing,42.71216059719439,-84.64336459519038,3853.8,488.17,87299.86409,240.24,0.492123645,1771.5746905231713,2504.986573507432,5.485792288582786,6.192710077320975,7.480188396036489,7.826437777703206,11.377115639716854,8.257074403977132,1.3333539437307584,True,LTL,2115.384,7.65746425099384
FBA186CDLCW7,UBER_LTL,Fun Express,2024-09-14,LAN2,78626,TX,Georgetown,30.633,-97.6707,48917,MI,Lansing,42.71216059719439,-84.64336459519038,1324.45,173.14,36815.94368,85.22,0.492202842,1771.5746905231713,2504.986573507432,4.4569021693189885,5.159859573400469,7.480188396036489,7.826437777703206,10.513713444280413,7.189507303403118,1.3933532882301023,True,LTL,2115.384,7.65746425099384
FBA18CCZ3G0R,UBER_LTL,De Leon Collections,2024-09-23,HSV1,78626,TX,Georgetown,30.633,-97.6707,35756-4403,AL,Madison,34.66682455,-86.85013498866724,546.18,26.1,7838.06,5.78,0.221455939,1107.093818258133,1461.6076604843445,1.913977101952304,3.299533727885655,7.0103965372408,7.287976190403023,8.966874208196934,6.304777815932781,1.910808719016456,True,LTL,1320.66,7.186643801251925
FBA17Q4Q757J,UBER_LTL,Raz,2024-09-23,HOU8,76001,TX,Arlington,32.6289,-97.1517,77545-1129,TX,Fresno,29.531537878002872,-95.50031595922636,9390.5,776.39,201478.47,142.75,0.18386378,378.600332281191,501.676185481888,4.96807567967746,6.655942154944599,5.939118942080993,6.219946196355552,12.21344276932208,9.147560303853474,1.3743449223124466,False,LTL,439.598,6.088132895093302
FBA18CD1B2Z6,UBER_LTL,De Leon Collections,2024-09-23,BNA6,78626,TX,Georgetown,30.633,-97.6707,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,3061.32,387.86,41361.06,85.89,0.221445883,1170.2603543256014,1629.2794863714753,4.464642950851115,5.963219381667679,7.065835673919619,7.396506743134111,10.630119314518408,8.02692807761543,1.346072911939492,True,LTL,1345.209,7.205047773039334
FBA18CD33LDR,UBER_LTL,De Leon Collections,2024-09-23,BNA6,78626,TX,Georgetown,30.633,-97.6707,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,182.52,41.04,4976.98,9.09,0.221491228,1170.2603543256014,1629.2794863714753,2.3115448343655176,3.7386215460087504,7.065835673919619,7.396506743134111,8.512779465241683,5.212323653381061,1.3941832809864358,True,LTL,1345.209,7.205047773039334
FBA1888NGK3D,UBER_LTL,Archie Mcphee,2024-09-29,PSC2,91320,CA,Newbury Park,34.1774,-118.9358,99301,WA,Pasco,46.2203792,-119.04172352449224,14467.58,742.96,77122.71,344.31,0.463430064,1339.148056477999,1348.114446772232,5.8444425643009605,6.611987269946926,7.200535376750351,7.207203690839169,11.253166034973804,9.579734680739575,1.448843485268306,True,LTL,1751.664,7.468892195129498
FBA1888NGK2R,UBER_LTL,Archie Mcphee,2024-09-29,PSC2,91320,CA,Newbury Park,34.1774,-118.9358,99301,WA,Pasco,46.2203792,-119.04172352449224,1083.0,98.22,4379.51,45.5,0.463245775,1339.148056477999,1348.114446772232,3.8394523125933104,4.597339606872903,7.200535376750351,7.207203690839169,8.384920434948237,6.988413181999592,1.520099400869167,True,LTL,1751.664,7.468892195129498
FBA1888P7PXY,UBER_LTL,Archie Mcphee,2024-09-29,PSC2,91320,CA,Newbury Park,34.1774,-118.9358,99301,WA,Pasco,46.2203792,-119.04172352449224,7596.42,380.93,39672.57,176.55,0.463470979,1339.148056477999,1348.114446772232,5.179252259389097,5.945237345741663,7.200535376750351,7.207203690839169,10.58844050189691,8.935563994955977,1.502978514618288,True,LTL,1751.664,7.468892195129498
FBA188HPMDP6,UBER_LTL,McKee's 37,2024-10-05,IND5,34997,FL,Stuart,27.1398,-80.2129,46168-7637,IN,Plainfield,35.7209619,-78.8443948,4179.0,576.96,40089.78938,193.49,0.335361204,962.9407377605006,1084.025148212737,5.270380747855014,6.359504662125411,6.871029817368681,6.989358443782208,10.59890189563976,8.338066525518801,1.311118863577047,True,LTL,1151.788,7.049938635193244
FBA18941F1JL,UBER_LTL,McKee's 37,2024-10-05,IND5,34997,FL,Stuart,27.1398,-80.2129,46168-7637,IN,Plainfield,35.7209619,-78.8443948,1950.0,375.04,36702.62388,125.77,0.335350896,962.9407377605006,1084.025148212737,4.842374420950636,5.92969552071035,6.871029817368681,6.989358443782208,10.510630772492112,7.576097340623111,1.2776536862917254,True,LTL,1151.788,7.049938635193244
FBA18B37W3HK,UBER_LTL,Chartpak,2024-10-05,HSV1,8873,NJ,Somerset,40.5007,-74.5013,35756-4403,AL,Madison,34.66682455,-86.85013498866724,15444.15,500.0,95561.87206,213.19,0.42638,1265.041964234228,1736.8496805936531,5.366863471583051,6.2166061010848646,7.143650749259214,7.460403812207803,11.467539656032054,9.64505031718639,1.551497740142041,True,LTL,1464.876,7.290208294967403
FBA18C43YBF2,UBER_LTL,Chartpak,2024-10-19,LBE1,8873,NJ,Somerset,40.5007,-74.5013,15672,PA,New Stanton,40.233283249067846,-79.62793305592939,4827.89,89.97,14922.12869,37.45,0.416249861,435.2867234386053,464.0673307713471,3.649358695951653,4.510529781833971,6.078299649775677,6.142182192462967,9.610667549495435,8.482371906570815,1.880571089616418,True,LTL,508.078,6.232601246460515
FBA18BK8J3TF,UBER_LTL,Chartpak,2024-10-19,LBE1,8873,NJ,Somerset,40.5007,-74.5013,15672,PA,New Stanton,40.233283249067846,-79.62793305592939,1552.91,37.76,2888.843625,15.71,0.416048729,435.2867234386053,464.0673307713471,2.8160073426073025,3.657388787022565,6.078299649775677,6.142182192462967,7.9689576706459935,7.348529614192536,2.009228452897096,True,LTL,508.078,6.232601246460515
FBA18BK8J3V2,UBER_LTL,Chartpak,2024-10-19,LBE1,8873,NJ,Somerset,40.5007,-74.5013,15672,PA,New Stanton,40.233283249067846,-79.62793305592939,13798.19,300.08,42349.62421,124.86,0.416089043,435.2867234386053,464.0673307713471,4.835170178098788,5.707376010166331,6.078299649775677,6.142182192462967,10.653738439286808,9.532365173770463,1.6701834883124622,True,LTL,508.078,6.232601246460515
FBA18B344R3T,UBER_LTL,Chartpak,2024-10-19,LBE1,8873,NJ,Somerset,40.5007,-74.5013,15672,PA,New Stanton,40.233283249067846,-79.62793305592939,4099.77,72.19,3540.3856,30.03,0.415985594,435.2867234386053,464.0673307713471,3.434954478460289,4.293058799613136,6.078299649775677,6.142182192462967,8.172273341975336,8.31893003993732,1.9377628931350697,True,LTL,508.078,6.232601246460515
FBA188CM4C9B,UBER_LTL,Amscan,2024-10-26,BNA6,8873,NJ,Somerset,40.5007,-74.5013,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,6343.74,777.79,178833.4081,232.81,0.299322439,1188.7989554701685,1541.390585656759,5.454508819722947,6.65774143314853,7.081539626849712,7.341088820140013,12.094215562245566,8.755381402161541,1.3150678034098735,True,LTL,1456.424,7.284425772782765
FBA188CM4C9Z,UBER_LTL,Amscan,2024-10-26,BNA6,8873,NJ,Somerset,40.5007,-74.5013,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,6055.76,797.23,198983.5862,238.62,0.299311366,1188.7989554701685,1541.390585656759,5.479054335211753,6.682396776473623,7.081539626849712,7.341088820140013,12.200982644425329,8.708930282619885,1.3032644684136352,True,LTL,1456.424,7.284425772782765
FBA18C5X80VS,UBER_LTL,Amscan,2024-10-26,BNA6,8873,NJ,Somerset,40.5007,-74.5013,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,3532.28,506.21,91787.04768,151.53,0.29934217,1188.7989554701685,1541.390585656759,5.027361298011842,6.228925119016985,7.081539626849712,7.341088820140013,11.427237368567612,8.169981896978506,1.3116198607100686,True,LTL,1456.424,7.284425772782765
FBA18C5X038W,UBER_LTL,Amscan,2024-10-26,BNA6,8873,NJ,Somerset,40.5007,-74.5013,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,9732.31,1168.77,286400.8494,349.83,0.299314664,1188.7989554701685,1541.390585656759,5.860301775655642,7.064562427270604,7.081539626849712,7.341088820140013,12.565151171450012,9.183309302325116,1.299911975705067,True,LTL,1456.424,7.284425772782765
FBA18GKMN8KK,UBER_LTL,Lenox,2024-10-29,LBE1,8873,NJ,Somerset,40.5007,-74.5013,15672,PA,New Stanton,40.233283249067846,-79.62793305592939,7480.0,530.0,33633.03,177.04,0.334037736,435.2867234386053,464.0673307713471,5.182008244147654,6.274762021241939,6.078299649775677,6.142182192462967,10.423293631036866,8.920121751872404,1.421587260469024,True,LTL,508.078,6.232601246460515
FBA18GKJFGL0,UBER_LTL,Lenox,2024-10-29,HSV1,8873,NJ,Somerset,40.5007,-74.5013,35756-4403,AL,Madison,34.66682455,-86.85013498866724,1395.0,82.8,26332.55,62.83,0.758816425,1265.041964234228,1736.8496805936531,4.156223299267966,4.428433007488037,7.143650749259214,7.460403812207803,10.178599070595302,7.241366283322318,1.6351983356365316,True,LTL,1464.876,7.290208294967403
FBA18FBHF7QQ,UBER_LTL,Greenwich Bay,2024-10-29,WBW2,8873,NJ,Somerset,40.5007,-74.5013,18447,PA,Olyphant,40.8806239198167,-74.59423828433978,1464.9,559.14,25523.09,88.59,0.158439747,42.96616967998429,50.08147227667367,4.495243706609487,6.328186752484402,3.783420467275979,3.9334218537065535,10.14737799107511,7.290224667295986,1.152024261046641,True,LTL,69.69,4.258304120182863
FBA18HHG0L6G,UBER_LTL,Greenwich Bay,2024-10-29,WBW2,8873,NJ,Somerset,40.5007,-74.5013,18447,PA,Olyphant,40.8806239198167,-74.59423828433978,1472.7,535.86,21876.32,84.91,0.158455567,42.96616967998429,50.08147227667367,4.453300236649965,6.285737352883712,3.783420467275979,3.9334218537065535,9.993205762745012,7.295531524219217,1.1606484831683654,True,LTL,69.69,4.258304120182863
FBA18H65G3YB,UBER_LTL,Lenox,2024-10-29,HSV1,8873,NJ,Somerset,40.5007,-74.5013,35756-4403,AL,Madison,34.66682455,-86.85013498866724,10482.5,367.2,146794.18,180.15,0.490604575,1265.041964234228,1736.8496805936531,5.199325417341086,5.908626268798978,7.143650749259214,7.460403812207803,11.896793560836043,9.257557871585291,1.5667868385026558,True,LTL,1464.876,7.290208294967403
FBA1887WD4KK,UBER_LTL,De Leon Collections,2024-11-02,LAN2,78626,TX,Georgetown,30.633,-97.6707,48917,MI,Lansing,42.71216059719439,-84.64336459519038,1240.72,145.08,20344.16365,37.68,0.259718776,1771.5746905231713,2504.986573507432,3.6553226705850936,4.984154416846659,7.480188396036489,7.826437777703206,9.920598504148831,7.12425279424323,1.429380432147717,True,LTL,2115.384,7.65746425099384
FBA1887WD4JX,UBER_LTL,De Leon Collections,2024-11-02,FTW5,78626,TX,Georgetown,30.633,-97.6707,75126-3566,TX,Forney,32.7343958,-96.416497753287,1128.54,55.47,13987.9,14.4,0.259599784,262.067774411179,352.34030370041586,2.734367509419584,4.033709523684745,5.572411696360407,5.867431625697427,9.54601943697708,7.029565749180956,1.7427049984401286,False,LTL,300.617,5.709158000593041
FBA18888H8HZ,UBER_LTL,De Leon Collections,2024-11-02,HSV1,78626,TX,Georgetown,30.633,-97.6707,35756-4403,AL,Madison,34.66682455,-86.85013498866724,221.91,36.29,3017.49,9.43,0.259851199,1107.093818258133,1461.6076604843445,2.344686269012681,3.6187251941907297,7.0103965372408,7.287976190403023,8.012511985327233,5.406768102552841,1.4941085084970038,True,LTL,1320.66,7.186643801251925
FBA18888H8HB,UBER_LTL,De Leon Collections,2024-11-02,LAN2,78626,TX,Georgetown,30.633,-97.6707,48917,MI,Lansing,42.71216059719439,-84.64336459519038,1337.78,258.16,14604.21,67.05,0.259722653,1771.5746905231713,2504.986573507432,4.220242729097475,5.557445631581756,7.480188396036489,7.826437777703206,9.589133593355925,7.199514030474467,1.295471788254876,True,LTL,2115.384,7.65746425099384
FBA18H67LVRW,UBER_LTL,OXO,2024-11-04,HGR6,27537,NC,Henderson,36.36,-78.3906,21740-7301,MD,Hagerstown,39.61306971207944,-77.7385755677252,108230.8,8064.0,1201681.624,673.9,0.083568948,366.2071235937369,418.8675415986415,6.514564531749361,8.99528899055931,5.905926058323241,6.039939284389492,13.999233319279163,11.592030502399162,1.2886779418165633,True,LTL,452.043,6.115987043715463
