Shipment ID,ship_method,vendor_name,date,fc_code,from_postal_code,from_state,from_city,from_latitude,from_longitude,to_postal_code,to_state,to_city,to_latitude,to_longitude,total_vendor_price,weight,volume,cost,$/lb,haversine_distance,manhattan_distance,log_cost,log_weight,log_Hdis,log_Mdis,log_volume,log_TVP,log_TVP/log_weight,across_state,ship_method_type,real_distance,log_distance
FBA1808G49FG,WWE_LTL,Pampa Bay,2024-06-12,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,15681.5,1792.8,225553.53,353.99,0.197450915,199.55046276096115,237.63931761646444,5.872089620064577,7.492091553683903,5.301065899672692,5.474953280734019,12.326317226873384,9.660300719970898,1.2893997157870922,False,LTL,271.65,5.60818892137207
FBA1808G49G3,WWE_LTL,Pampa Bay,2024-06-12,CLT2,27540,NC,Holly Springs,35.6263,-78.8458,28214-8082,NC,Charlotte,35.24221934771131,-80.99737261815821,2783.5,438.2,59033.08421,86.53,0.19746691,199.55046276096115,237.63931761646444,4.471981591744346,6.084954890195321,5.301065899672692,5.474953280734019,10.985870254558908,7.931823603029724,1.3035139530467612,False,LTL,271.65,5.60818892137207
FBA186RJ320Q,WWE_LTL,Pampa Bay,2024-08-07,RDU4,27540,NC,Holly Springs,35.6263,-78.8458,28303,NC,Fayetteville,35.1096273601162,-78.96083034790398,4633.0,1001.0,68063.85,447.29,0.446843157,58.39048997629042,67.88164693620652,6.105440344421411,6.90975328164481,4.084134112141748,4.232389770057303,11.128216206168345,8.441175704992322,1.2216319976887755,False,LTL,69.754,4.259209072027659
FBA184MHY0BH,WWE_LTL,Maxxsonics,2024-08-07,SWF2,27537,NC,Henderson,36.36,-78.3906,12533-6159,NY,Hopewell Junction,42.0506077,-71.60176882491467,5900.0,1447.0,138031.8786,341.2,0.235798203,861.1360682854287,1217.7154109230005,5.835395361458093,7.277938572945661,6.759413110045647,7.105552641128187,11.835247186486782,8.682877107057168,1.1930407243795786,True,LTL,1023.81,6.932262508536477
FBA183Y3Z683,WWE_LTL,Maxxsonics,2024-08-14,TEB9,27537,NC,Henderson,36.36,-78.3906,8873,NJ,Somerset,42.40610715317342,-71.14548263783863,33830.0,2453.0,483562.0143,453.95,0.185059111,915.65171856493,1294.9775054881593,6.120187522802699,7.805474625270857,6.82072759483947,7.167020519885168,13.088936914855934,10.429132820900398,1.3361305137211303,True,LTL,1059.352,6.966356207452955
FBA187X8BZ27,WWE_LTL,Lipper International,2024-08-21,FTW5,6492,CT,Wallingford,41.46,-72.8222,75126-3566,TX,Forney,32.7343958,-96.416497753287,1920.0,438.91,25533.123,181.69,0.413957303,2296.6411080455537,3062.834556365362,5.207790727348479,6.086570160535487,7.739638270426768,8.02742253343834,10.147770993475296,7.560601162768557,1.242177607972137,True,LTL,2631.54,7.875704438574554
FBA187X8BZ1L,WWE_LTL,Lipper International,2024-08-21,FTW5,6492,CT,Wallingford,41.46,-72.8222,75126-3566,TX,Forney,32.7343958,-96.416497753287,4080.0,830.09,101775.4985,343.61,0.413943066,2296.6411080455537,3062.834556365362,5.842413342825423,6.7227380922401725,7.739638270426768,8.02742253343834,11.530534496917909,8.314097335405807,1.2367129614944372,True,LTL,2631.54,7.875704438574554
FBA1853V6CWG,WWE_LTL,Village,2024-08-21,BNA6,27537,NC,Henderson,36.36,-78.3906,37040,TN,Clarksville,36.61045360124922,-87.25291354426132,2982.4,159.15,12085.39,120.07,0.754445492,792.5154136309503,820.1564456595096,4.796368890719648,5.076110876055167,6.6764729646435255,6.710713646304622,9.39983530514157,8.000818868719831,1.5761710222802623,True,LTL,964.089,6.872220325065522
FBA185BM4XTC,WWE_LTL,Village,2024-08-21,HSV1,27537,NC,Henderson,36.36,-78.3906,35756-4403,AL,Madison,34.66682455,-86.85013498866724,625.0,9.54,1703.65,7.2,0.754716981,788.1867800847876,953.9483943822448,2.104134154270207,2.355177543113216,6.671003022975199,6.861657301724584,7.441115090052707,6.439350371100098,2.734125242459715,True,LTL,972.541,6.880939940001412
FBA185BM4XV0,WWE_LTL,Village,2024-08-21,HSV1,27537,NC,Henderson,36.36,-78.3906,35756-4403,AL,Madison,34.66682455,-86.85013498866724,1095.0,15.93,4255.42,12.02,0.754551161,788.1867800847876,953.9483943822448,2.5664866367804238,2.829087196145044,6.671003022975199,6.861657301724584,8.356183710363041,6.999422467507961,2.4740921655032326,True,LTL,972.541,6.880939940001412
